Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.254917174577713,0.749055027961731,0.7119733095169067,272,143,129,0.1606837511062622,0.006666660308837891
1,0.2530785799026489,0.7489516139030457,0.7119296789169312,272,143,129,0.1606837511062622,0.006666660308837891
2,0.25105464458465576,0.7488265037536621,0.711884617805481,272,143,129,0.1605982780456543,0.006666660308837891
3,0.2487797737121582,0.7486763596534729,0.7118345499038696,272,143,129,0.15974360704421997,0.006666660308837891
4,0.24622637033462524,0.748495876789093,0.7117786407470703,272,143,129,0.15786325931549072,0.009999990463256836
5,0.24338200688362122,0.7482804656028748,0.7117165327072144,272,143,129,0.1567521095275879,0.016666650772094727
6,0.2402544915676117,0.7480291724205017,0.7116469144821167,272,143,129,0.15427350997924805,0.013333320617675781
7,0.23692400753498077,0.7477524876594543,0.7115655541419983,272,143,129,0.15256410837173462,0.009999990463256836
8,0.23332209885120392,0.7474427223205566,0.7114753127098083,272,143,129,0.15145301818847656,0.013333320617675781
9,0.2298433631658554,0.7471544742584229,0.7113694548606873,272,143,129,0.1501709222793579,0.016666650772094727
10,0.22666522860527039,0.7468584179878235,0.7112594842910767,272,143,129,0.14931625127792358,0.019999980926513672
11,0.22335883975028992,0.7465313673019409,0.7111448645591736,272,143,129,0.14837604761123657,0.019999980926513672
12,0.2202899158000946,0.7462529540061951,0.7110082507133484,272,143,129,0.14769232273101807,0.023333311080932617
13,0.2174370139837265,0.7459829449653625,0.7108721137046814,272,143,129,0.1470940113067627,0.026666641235351562
14,0.21394841372966766,0.7455919981002808,0.7107473015785217,272,143,129,0.145641028881073,0.026666641235351562
15,0.21096068620681763,0.7452872395515442,0.7106021642684937,272,143,129,0.14461541175842285,0.029999971389770508
16,0.20735648274421692,0.7448478937149048,0.7104711532592773,272,143,129,0.1432478427886963,0.029999971389770508
17,0.20447686314582825,0.7445046901702881,0.710356593132019,272,143,129,0.14256411790847778,0.026666641235351562
18,0.20125573873519897,0.7440648674964905,0.7102437615394592,272,143,129,0.1404273509979248,0.036666691303253174
19,0.19861333072185516,0.743735134601593,0.7101134061813354,272,143,129,0.13974356651306152,0.03333336114883423
20,0.1956828087568283,0.7433150410652161,0.7100017666816711,272,143,129,0.13871794939041138,0.03333336114883423
21,0.193011075258255,0.7429264187812805,0.7098938822746277,272,143,129,0.1388034224510193,0.03333336114883423
22,0.18997496366500854,0.7425079345703125,0.7097326517105103,272,143,129,0.138119637966156,0.03333336114883423
23,0.18739205598831177,0.7421038150787354,0.7096152901649475,272,143,129,0.13777780532836914,0.03333336114883423
24,0.18459384143352509,0.7416724562644958,0.7094881534576416,272,143,129,0.1364957094192505,0.029999971389770508
25,0.1821545511484146,0.7412818670272827,0.7093504071235657,272,143,129,0.13641023635864258,0.029999971389770508
26,0.1796300709247589,0.7408758997917175,0.7092038989067078,272,143,129,0.13623929023742676,0.029999971389770508
