Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
0,103.17177,0.0,0.25599998,0.6949359,0.5620249,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
1,103.17176,0.0,0.25599998,0.6949359,0.56202483,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
2,103.17176,0.0,0.25599998,0.6949359,0.5620249,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
3,103.17175,0.0,0.25599998,0.69493586,0.5620249,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
4,103.17175,0.0,0.25599998,0.69493586,0.5620249,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
5,103.17174,0.0,0.25599998,0.69493586,0.5620249,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
6,103.17174,0.0,0.25599998,0.6949358,0.56202483,0.8054054,0.66788197,0.62112606,482,91,99,96,97,99
7,103.17174,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.66788197,0.62112606,482,91,99,96,97,99
8,103.17173,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.66788197,0.62112606,482,91,99,96,97,99
9,103.17173,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.66788197,0.62112606,482,91,99,96,97,99
10,103.17172,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
11,103.17172,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
12,103.171715,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
13,103.171715,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
14,103.17171,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
15,103.17171,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
16,103.17171,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
17,103.17171,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
18,103.17169,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
19,103.17169,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
20,103.171684,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
21,103.171684,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
22,103.17168,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
23,103.17168,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
24,103.17168,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
25,103.17168,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
26,103.17168,0.0,0.25599998,0.69493574,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
27,103.17168,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
28,103.17167,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
29,103.17166,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.621126,482,91,99,96,97,99
30,103.17166,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.621126,482,91,99,96,97,99
31,103.17166,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
32,103.17166,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
33,103.17165,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
34,103.171646,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
35,103.17165,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
36,103.171646,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
37,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
38,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
39,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
40,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
41,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
42,103.17162,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
43,103.171616,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
44,103.171616,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
45,103.171616,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
46,103.1716,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
47,103.1716,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
48,103.1716,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
49,103.1716,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
50,103.17159,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
51,103.17159,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
52,103.17159,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
53,103.171585,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
54,103.171585,0.0,0.25599998,0.6949355,0.5620249,0.8054052,0.66788185,0.62112606,482,91,99,96,97,99
55,103.17158,0.0,0.25599998,0.6949355,0.5620249,0.8054052,0.66788185,0.62112606,482,91,99,96,97,99
56,103.17158,0.0,0.25599998,0.6949355,0.5620249,0.8054052,0.66788185,0.62112606,482,91,99,96,97,99
57,103.17157,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.62112606,482,91,99,96,97,99
58,103.17156,0.0,0.25599998,0.69493544,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
59,103.17156,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
60,103.17156,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
61,103.171555,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
62,103.171555,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
63,103.171555,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
64,103.171555,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
65,103.17154,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
66,103.17154,0.0,0.25599998,0.69493544,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
67,103.17154,0.0,0.25599998,0.6949354,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
68,103.17154,0.0,0.25599998,0.6949354,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
69,103.17154,0.0,0.25599998,0.6949354,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
70,103.17153,0.0,0.25599998,0.6949354,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
71,103.17153,0.0,0.25599998,0.6949354,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
72,103.171524,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
73,103.17152,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
74,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
75,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
76,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
77,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
78,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
79,103.17149,0.0,0.25599998,0.6949353,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
80,103.17149,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
81,103.17149,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
82,103.17149,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
83,103.17148,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
84,103.17148,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
85,103.17148,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
86,103.17148,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
87,103.17148,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
88,103.17146,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
89,103.17146,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
90,103.17146,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
91,103.17146,0.0,0.25599998,0.6949352,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
92,103.17146,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
93,103.17145,0.0,0.25599998,0.6949352,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
94,103.17145,0.0,0.25599998,0.6949352,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
95,103.17145,0.0,0.25599998,0.6949352,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
96,103.17145,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
97,103.17143,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
98,103.171425,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
99,103.17142,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
100,103.17142,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
101,103.17142,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
102,103.17142,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
103,103.17142,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
104,103.1714,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
105,103.1714,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
106,103.1714,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
107,103.1714,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
108,103.171394,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
109,103.17139,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
110,103.17139,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
111,103.17139,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
112,103.17139,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
113,103.17137,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
114,103.17137,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
115,103.17137,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
116,103.17137,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
117,103.17136,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
118,103.171364,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
119,103.17136,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
120,103.17136,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
121,103.17136,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
122,103.17136,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
123,103.17134,0.0,0.25599998,0.69493496,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
124,103.17134,0.0,0.25599998,0.69493496,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
125,103.17134,0.0,0.25599998,0.69493496,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
126,103.17134,0.0,0.25599998,0.69493496,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
127,103.17134,0.0,0.25599998,0.6949349,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
128,103.171326,0.0,0.25599998,0.6949349,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
129,103.17133,0.0,0.25599998,0.6949349,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
