Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.756182074546814,0.12386763840913773,0.9534545540809631,2928,178,2750,0.09070229530334473,0.06596529483795166
1,0.7536300420761108,0.12406366318464279,0.9534703493118286,2928,178,2750,0.09041798114776611,0.06568098068237305
2,0.7511687874794006,0.12431120872497559,0.9534623622894287,2928,178,2750,0.09013360738754272,0.06596529483795166
3,0.7487661838531494,0.12458914518356323,0.953438401222229,2928,178,2750,0.09013360738754272,0.06624966859817505
4,0.7464137077331543,0.12490109354257584,0.9533979892730713,2928,178,2750,0.08984929323196411,0.06653398275375366
5,0.744087815284729,0.1252545565366745,0.9533377289772034,2928,178,2750,0.09013360738754272,0.06624966859817505
6,0.7417837381362915,0.1256473809480667,0.9532628059387207,2928,178,2750,0.09041798114776611,0.06568098068237305
7,0.7394897937774658,0.12607203423976898,0.9531756043434143,2928,178,2750,0.09013360738754272,0.06596529483795166
8,0.7371823191642761,0.12652897834777832,0.9530776143074036,2928,178,2750,0.0895649790763855,0.06596529483795166
9,0.7348200678825378,0.12702186405658722,0.9529653787612915,2928,178,2750,0.08984929323196411,0.06596529483795166
10,0.7324026823043823,0.1275530457496643,0.9528411030769348,2928,178,2750,0.09041798114776611,0.06653398275375366
11,0.7298949956893921,0.1281280666589737,0.9527039527893066,2928,178,2750,0.08984929323196411,0.06624966859817505
12,0.7273197174072266,0.12879306077957153,0.9525511264801025,2928,178,2750,0.0889962911605835,0.06624966859817505
13,0.724590003490448,0.1295125037431717,0.9523826241493225,2928,178,2750,0.0889962911605835,0.06568098068237305
14,0.7217261791229248,0.13030903041362762,0.9521989226341248,2928,178,2750,0.08871197700500488,0.06539666652679443
15,0.7187203168869019,0.13116590678691864,0.9519984722137451,2928,178,2750,0.08814328908920288,0.06482797861099243
16,0.7156509160995483,0.13195693492889404,0.9517862200737,2928,178,2750,0.08842766284942627,0.06511229276657104
17,0.7124820947647095,0.1328240931034088,0.9515551924705505,2928,178,2750,0.08871197700500488,0.06482797861099243
18,0.7091714143753052,0.13375914096832275,0.9513075351715088,2928,178,2750,0.0889962911605835,0.06511229276657104
19,0.7057031393051147,0.13477911055088043,0.9510385394096375,2928,178,2750,0.08928066492080688,0.06568098068237305
20,0.7019281387329102,0.1359533667564392,0.9507375955581665,2928,178,2750,0.08928066492080688,0.06511229276657104
21,0.6979212164878845,0.13722555339336395,0.95041424036026,2928,178,2750,0.08814328908920288,0.06482797861099243
22,0.6936053037643433,0.13865143060684204,0.9500643014907837,2928,178,2750,0.08842766284942627,0.06454366445541382
23,0.6890844106674194,0.1401384174823761,0.9496958255767822,2928,178,2750,0.08785897493362427,0.06425929069519043
24,0.6843867301940918,0.14166714251041412,0.9493122100830078,2928,178,2750,0.08757466077804565,0.06454366445541382
25,0.6794747114181519,0.1432477831840515,0.9489099979400635,2928,178,2750,0.08757466077804565,0.06454366445541382
26,0.6743946671485901,0.14483590424060822,0.9485009908676147,2928,178,2750,0.08729028701782227,0.06425929069519043
27,0.6691407561302185,0.14643414318561554,0.9480754733085632,2928,178,2750,0.08672165870666504,0.06454366445541382
28,0.6637654304504395,0.14802703261375427,0.947629451751709,2928,178,2750,0.08643728494644165,0.06397497653961182
29,0.6585817337036133,0.14953874051570892,0.9471709728240967,2928,178,2750,0.08615297079086304,0.06340628862380981
30,0.6537362337112427,0.15093252062797546,0.9467087388038635,2928,178,2750,0.08615297079086304,0.06340628862380981
31,0.6493113040924072,0.15215574204921722,0.9462576508522034,2928,178,2750,0.08529996871948242,0.06340628862380981
32,0.6450581550598145,0.15326911211013794,0.9458073377609253,2928,178,2750,0.0844469666481018,0.0631219744682312
33,0.6408148407936096,0.15431955456733704,0.945343017578125,2928,178,2750,0.0841626524925232,0.0625532865524292
34,0.6366450786590576,0.1553095281124115,0.9448695182800293,2928,178,2750,0.0844469666481018,0.0625532865524292
35,0.6325879096984863,0.1562725305557251,0.9443888664245605,2928,178,2750,0.08473128080368042,0.0631219744682312
36,0.628603458404541,0.15717363357543945,0.9439073801040649,2928,178,2750,0.08501565456390381,0.0631219744682312
37,0.6244832277297974,0.1580939143896103,0.9434102177619934,2928,178,2750,0.08529996871948242,0.0631219744682312
38,0.620222270488739,0.15903067588806152,0.9428939819335938,2928,178,2750,0.08558428287506104,0.06283766031265259
39,0.6156929731369019,0.16002421081066132,0.9423609972000122,2928,178,2750,0.08558428287506104,0.061700284481048584
40,0.6110506653785706,0.16100043058395386,0.9418217539787292,2928,178,2750,0.08473128080368042,0.0625532865524292
41,0.6062569618225098,0.16206251084804535,0.9412515759468079,2928,178,2750,0.0841626524925232,0.06198465824127197
42,0.6013025641441345,0.16314145922660828,0.940673828125,2928,178,2750,0.0841626524925232,0.06198465824127197
43,0.5963577628135681,0.16420213878154755,0.940083920955658,2928,178,2750,0.08302527666091919,0.062268972396850586
44,0.5914022326469421,0.16523337364196777,0.939472496509552,2928,178,2750,0.08302527666091919,0.0625532865524292
45,0.5863741636276245,0.16626089811325073,0.9388529658317566,2928,178,2750,0.08245664834976196,0.06283766031265259
46,0.581358015537262,0.16728617250919342,0.938211977481842,2928,178,2750,0.08330965042114258,0.0625532865524292
47,0.5762990713119507,0.16832071542739868,0.9375650882720947,2928,178,2750,0.08330965042114258,0.0625532865524292
48,0.5713297724723816,0.16931070387363434,0.9368963241577148,2928,178,2750,0.08302527666091919,0.06198465824127197
49,0.5664125084877014,0.17026275396347046,0.9362353682518005,2928,178,2750,0.08274096250534058,0.06198465824127197
50,0.5616020560264587,0.17118611931800842,0.9355717301368713,2928,178,2750,0.08131933212280273,0.061700284481048584
