Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
38,340.97208,0.0149207115,0.10662109,0.63519275,0.21214858,0.7673091,0.49725574,0.5988364,0.6937158,1670,209,89,484,284,92,512
39,333.7832,0.014609873,0.10631025,0.63127714,0.28344154,0.76482904,0.49745914,0.58116263,0.69056743,1670,209,89,484,284,92,512
40,325.9361,0.015542448,0.10662109,0.62743497,0.21157162,0.76222646,0.4976763,0.5971848,0.68735576,1670,209,89,484,284,92,512
41,318.79434,0.016164124,0.10662109,0.62366915,0.28395593,0.75948733,0.4979105,0.5793054,0.6840863,1670,209,89,484,284,92,512
42,310.99548,0.016164124,0.10662109,0.6199816,0.21106687,0.7566145,0.49815878,0.5956591,0.6807865,1670,209,89,484,284,92,512
43,303.9818,0.016164124,0.10662109,0.6163728,0.28437307,0.75360614,0.4984193,0.5775673,0.6774842,1670,209,89,484,284,92,512
44,296.27368,0.016164124,0.10662109,0.61284274,0.21064255,0.75045586,0.49870026,0.5940843,0.6741553,1670,209,89,484,284,92,512
45,289.3673,0.015853286,0.10631025,0.6093905,0.28470305,0.7471557,0.49899465,0.5758506,0.67081976,1670,209,89,484,284,92,512
46,281.7223,0.015853286,0.10599935,0.6060149,0.21030755,0.7437004,0.49930513,0.5926318,0.6674495,1670,209,89,484,284,92,512
47,274.90967,0.015853286,0.10631025,0.602714,0.28495923,0.7400944,0.49962822,0.5742791,0.6640767,1670,209,89,484,284,92,512
48,267.40002,0.015853286,0.10631025,0.5994867,0.21005744,0.7363322,0.49995595,0.59117097,0.6607393,1670,209,89,484,284,92,512
49,260.75027,0.016164124,0.10631025,0.59633136,0.28516123,0.73241234,0.5002976,0.57278115,0.65740764,1670,209,89,484,284,92,512
50,253.3716,0.016164124,0.10599935,0.5932461,0.20990777,0.72833616,0.5006498,0.5897922,0.6540986,1670,209,89,484,284,92,512
51,246.87822,0.016474962,0.10568851,0.59023297,0.2853249,0.7241154,0.5010175,0.5713837,0.6507988,1670,209,89,484,284,92,512
52,239.65248,0.016474962,0.10568851,0.58729327,0.20986365,0.7197614,0.5013981,0.58856386,0.64752185,1670,209,89,484,284,92,512
53,233.35657,0.0167858,0.10568851,0.5844197,0.2854692,0.7152831,0.5017871,0.5701498,0.6442598,1670,209,89,484,284,92,512
54,226.33511,0.017096698,0.10568851,0.5816112,0.20996115,0.7107119,0.502183,0.5873178,0.6410191,1670,209,89,484,284,92,512
55,220.2776,0.0167858,0.105066836,0.5788667,0.28562695,0.7060635,0.5026057,0.56892407,0.6377653,1670,209,89,484,284,92,512
