Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.25412577390670776,0.6792932748794556,0.6725457906723022,1302,656,646,0.30622708797454834,0.1626373529434204
1,0.25355982780456543,0.6792685389518738,0.6725398302078247,1302,656,646,0.30622708797454834,0.1626373529434204
2,0.2529240548610687,0.6792392134666443,0.6725337505340576,1302,656,646,0.3047618865966797,0.1626373529434204
3,0.2522081136703491,0.6792041659355164,0.6725276708602905,1302,656,646,0.3047618865966797,0.16410255432128906
4,0.25138843059539795,0.6791616082191467,0.6725215315818787,1302,656,646,0.305494487285614,0.1648351550102234
5,0.25047191977500916,0.679111123085022,0.6725152730941772,1302,656,646,0.305494487285614,0.16410255432128906
6,0.2494620829820633,0.6790514588356018,0.6725091338157654,1302,656,646,0.3025640845298767,0.1648351550102234
7,0.24836082756519318,0.6789804697036743,0.6725029349327087,1302,656,646,0.30109888315200806,0.16410255432128906
8,0.24718806147575378,0.6788976788520813,0.6724967956542969,1302,656,646,0.30036628246307373,0.1626373529434204
9,0.24593186378479004,0.6787996292114258,0.6724910140037537,1302,656,646,0.30109888315200806,0.1626373529434204
10,0.2447131723165512,0.6786953210830688,0.6724851727485657,1302,656,646,0.3018314838409424,0.16190475225448608
11,0.243645578622818,0.6785970330238342,0.672478973865509,1302,656,646,0.30109888315200806,0.16117215156555176
12,0.24265000224113464,0.6784992218017578,0.6724727153778076,1302,656,646,0.3018314838409424,0.1597069501876831
13,0.2418002039194107,0.6784120798110962,0.6724656820297241,1302,656,646,0.3018314838409424,0.15824174880981445
14,0.24099858105182648,0.6783217191696167,0.6724584102630615,1302,656,646,0.30109888315200806,0.15824174880981445
15,0.2402106374502182,0.6782241463661194,0.6724512577056885,1302,656,646,0.30036628246307373,0.15750914812088013
16,0.23943489789962769,0.678121030330658,0.6724439859390259,1302,656,646,0.30036628246307373,0.15750914812088013
17,0.23867271840572357,0.6780112385749817,0.6724367737770081,1302,656,646,0.2989010810852051,0.1567765474319458
18,0.23792609572410583,0.6778955459594727,0.6724294424057007,1302,656,646,0.2989010810852051,0.15824174880981445
19,0.23719742894172668,0.6777732968330383,0.6724218726158142,1302,656,646,0.29523807764053345,0.1567765474319458
20,0.23649002611637115,0.6776461005210876,0.6724140048027039,1302,656,646,0.29816848039627075,0.15897434949874878
21,0.23580937087535858,0.6775146722793579,0.6724058985710144,1302,656,646,0.2989010810852051,0.15897434949874878
22,0.23515288531780243,0.677377462387085,0.6723974943161011,1302,656,646,0.2989010810852051,0.1597069501876831
23,0.23451922833919525,0.6772363185882568,0.6723885536193848,1302,656,646,0.2989010810852051,0.16190475225448608
24,0.2339087873697281,0.6770918965339661,0.6723791360855103,1302,656,646,0.2996336817741394,0.16117215156555176
25,0.2333202362060547,0.6769422292709351,0.6723693609237671,1302,656,646,0.2996336817741394,0.16043955087661743
26,0.23275533318519592,0.6767957806587219,0.6723586320877075,1302,656,646,0.2996336817741394,0.1597069501876831
27,0.232207253575325,0.6766409277915955,0.6723474860191345,1302,656,646,0.30109888315200806,0.16117215156555176
28,0.23167800903320312,0.6764872670173645,0.6723356246948242,1302,656,646,0.2989010810852051,0.16190475225448608
29,0.2311636209487915,0.6763284206390381,0.6723231673240662,1302,656,646,0.2996336817741394,0.16117215156555176
