Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.11643736809492111,0.7166997790336609,0.5792006850242615,2054,1203,851,0.11000001430511475,0.07695651054382324
1,0.08164045959711075,0.6992760300636292,0.5869508385658264,2054,1203,851,0.104347825050354,0.07565218210220337
2,0.05861321836709976,0.6813779473304749,0.5945498943328857,2054,1203,851,0.10260868072509766,0.07695651054382324
3,0.046606823801994324,0.6680330038070679,0.6000662446022034,2054,1203,851,0.1039130687713623,0.07695651054382324
4,0.03796970471739769,0.6585667729377747,0.6029704213142395,2054,1203,851,0.10173910856246948,0.07652175426483154
5,0.03242598846554756,0.6510162949562073,0.6043931841850281,2054,1203,851,0.10260868072509766,0.07608693838119507
6,0.02811475470662117,0.6442225575447083,0.606123149394989,2054,1203,851,0.10043478012084961,0.07391303777694702
7,0.024122392758727074,0.6379440426826477,0.6074609160423279,2054,1203,851,0.10173910856246948,0.0747826099395752
8,0.020800620317459106,0.6323724985122681,0.6084682941436768,2054,1203,851,0.10043478012084961,0.0752173662185669
9,0.018503338098526,0.6279076933860779,0.6091826558113098,2054,1203,851,0.09956520795822144,0.0747826099395752
10,0.016981936991214752,0.6245150566101074,0.609678328037262,2054,1203,851,0.10043478012084961,0.0752173662185669
11,0.01586274988949299,0.6216626763343811,0.610104501247406,2054,1203,851,0.10086953639984131,0.0743478536605835
12,0.01500451099127531,0.619171679019928,0.6104943156242371,2054,1203,851,0.10086953639984131,0.0747826099395752
13,0.0143321817740798,0.6170223951339722,0.6107691526412964,2054,1203,851,0.10000002384185791,0.0752173662185669
14,0.013778782449662685,0.6152567863464355,0.6109375357627869,2054,1203,851,0.09913045167922974,0.07608693838119507
15,0.013302464969456196,0.6138162612915039,0.6109932065010071,2054,1203,851,0.09913045167922974,0.07608693838119507
16,0.012876678258180618,0.6125724911689758,0.610977292060852,2054,1203,851,0.09913045167922974,0.07565218210220337
17,0.01247976254671812,0.611430287361145,0.610919177532196,2054,1203,851,0.09913045167922974,0.0752173662185669
18,0.012097097933292389,0.6104291081428528,0.6108353734016418,2054,1203,851,0.09913045167922974,0.0752173662185669
19,0.011723455041646957,0.6095574498176575,0.610689640045166,2054,1203,851,0.09913045167922974,0.0752173662185669
20,0.011340429075062275,0.6087167263031006,0.610543429851532,2054,1203,851,0.09913045167922974,0.0752173662185669
21,0.010912403464317322,0.6080131530761719,0.6103240847587585,2054,1203,851,0.09913045167922974,0.0747826099395752
22,0.010396461933851242,0.6073886156082153,0.6100795865058899,2054,1203,851,0.09869563579559326,0.0752173662185669
23,0.009794206358492374,0.6068724989891052,0.6098068356513977,2054,1203,851,0.09826087951660156,0.0752173662185669
