Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
29,103.3448,0.11226416,0.3058161,0.63316727,0.65438265,0.25614792,0.3338763,0.37763658,0.571385,0.52178866,5.3202497e-05,0.31898397,0.60418105,749,140,219,18,16,24,132,88,7,28,77
30,99.5939,0.11415094,0.3058161,0.62899697,0.64774585,0.26210248,0.35938677,0.38319755,0.5708187,0.5218909,5.3609845e-05,0.32166,0.6017439,749,140,219,18,16,24,132,88,7,28,77
31,96.53031,0.11415094,0.3058161,0.6250279,0.6420144,0.26813674,0.37990052,0.3883228,0.57043767,0.5218158,5.4038886e-05,0.32428327,0.5992223,749,140,219,18,16,24,132,88,7,28,77
32,93.86732,0.11415094,0.30675423,0.62065494,0.63760555,0.27497673,0.39394712,0.3933282,0.57007194,0.52178174,5.4504108e-05,0.32690597,0.5967137,749,140,219,18,16,24,132,88,7,28,77
33,91.450775,0.11415094,0.3076923,0.61639947,0.6340728,0.28150833,0.4028181,0.39817783,0.5699554,0.5215076,5.4998654e-05,0.32946023,0.59428644,749,140,219,18,16,24,132,88,7,28,77
34,89.08953,0.11415094,0.30675423,0.6119945,0.6310074,0.28812158,0.40863478,0.4029201,0.5700108,0.52114767,5.554041e-05,0.33198318,0.5919776,749,140,219,18,16,24,132,88,7,28,77
35,86.661545,0.11415094,0.30675423,0.6074551,0.62801564,0.29507,0.41313088,0.4075377,0.5700875,0.52069074,5.6121477e-05,0.33437133,0.5897523,749,140,219,18,16,24,132,88,7,28,77
36,84.139656,0.11320752,0.3076923,0.6032199,0.62462777,0.30158472,0.4175958,0.41214976,0.56998986,0.52040416,5.6757377e-05,0.33671808,0.58738315,749,140,219,18,16,24,132,88,7,28,77
37,81.42558,0.11226416,0.3076923,0.5989454,0.6204153,0.3082739,0.42307815,0.41667834,0.56995404,0.51999587,5.743864e-05,0.33901486,0.5851289,749,140,219,18,16,24,132,88,7,28,77
38,78.74917,0.11226416,0.31238276,0.594914,0.6153976,0.3145404,0.42968976,0.4209589,0.5698234,0.5196703,5.8179354e-05,0.34130526,0.58302987,749,140,219,18,16,24,132,88,7,28,77
39,76.482895,0.11415094,0.31238276,0.59103805,0.61035025,0.32064116,0.4361164,0.425146,0.5698141,0.51924366,5.897108e-05,0.34356713,0.5810669,749,140,219,18,16,24,132,88,7,28,77
40,74.717514,0.11415094,0.31238276,0.5874388,0.6061767,0.32657132,0.4409781,0.42910275,0.5698679,0.5189718,5.9825234e-05,0.34579295,0.57913756,749,140,219,18,16,24,132,88,7,28,77
41,73.27328,0.11415094,0.31144464,0.58399767,0.60304916,0.3322308,0.44421113,0.4327495,0.5700251,0.5186441,6.073108e-05,0.347984,0.5772978,749,140,219,18,16,24,132,88,7,28,77
42,71.94068,0.11415094,0.31238276,0.5810083,0.60012513,0.33751094,0.44650888,0.43632355,0.57021755,0.51845735,6.169644e-05,0.3501591,0.57555795,749,140,219,18,16,24,132,88,7,28,77
43,70.70891,0.11320752,0.31144464,0.57800514,0.5978023,0.34282696,0.4480396,0.43970886,0.5704348,0.51814723,6.271115e-05,0.35229522,0.5738884,749,140,219,18,16,24,132,88,7,28,77
44,69.51042,0.11320752,0.31144464,0.5754168,0.5956953,0.34769806,0.44886705,0.44290915,0.57041025,0.5179951,6.378197e-05,0.35439652,0.57239693,749,140,219,18,16,24,132,88,7,28,77
45,68.34802,0.11415094,0.31238276,0.57303196,0.5938399,0.35224104,0.44921994,0.44591752,0.5704481,0.5178533,6.490118e-05,0.3564546,0.5708549,749,140,219,18,16,24,132,88,7,28,77
46,67.18628,0.11415094,0.31332082,0.57076806,0.59217423,0.35683534,0.4491962,0.44857916,0.57032603,0.5177893,6.607063e-05,0.35850003,0.5694101,749,140,219,18,16,24,132,88,7,28,77
47,66.02225,0.11226416,0.31238276,0.5687719,0.59058064,0.36126918,0.44880176,0.4510808,0.5702881,0.5177273,6.72878e-05,0.36050612,0.5680188,749,140,219,18,16,24,132,88,7,28,77
48,64.89695,0.11226416,0.31238276,0.5670826,0.5889857,0.3646978,0.4482211,0.4535695,0.5702304,0.5177146,6.855183e-05,0.3624618,0.56670654,749,140,219,18,16,24,132,88,7,28,77
49,63.71531,0.11037737,0.31238276,0.56523436,0.58752817,0.36900005,0.4475176,0.45584702,0.5700158,0.51775974,6.986357e-05,0.36439848,0.5655198,749,140,219,18,16,24,132,88,7,28,77
50,62.590267,0.10943395,0.31332082,0.56370956,0.58597034,0.3724085,0.4467527,0.4580051,0.5699795,0.51776063,7.121737e-05,0.36623177,0.5644964,749,140,219,18,16,24,132,88,7,28,77
51,61.469265,0.10943395,0.31332082,0.56212705,0.5845267,0.37609136,0.4459967,0.46024963,0.5698129,0.5178396,7.262102e-05,0.36804196,0.5635092,749,140,219,18,16,24,132,88,7,28,77
52,60.35504,0.10943395,0.31425893,0.560504,0.5828852,0.3801834,0.44534764,0.46249017,0.5699746,0.5178748,7.40671e-05,0.36983368,0.5625403,749,140,219,18,16,24,132,88,7,28,77
53,59.281357,0.10943395,0.31332082,0.559172,0.5814022,0.38363388,0.4449165,0.46453333,0.569637,0.51792073,7.556477e-05,0.3715844,0.5616245,749,140,219,18,16,24,132,88,7,28,77
54,58.235985,0.10943395,0.31332082,0.5577752,0.57986367,0.38729382,0.4446779,0.46654615,0.5695654,0.5179277,7.7109435e-05,0.3733159,0.56074476,749,140,219,18,16,24,132,88,7,28,77
55,57.268417,0.11037737,0.31332082,0.5566027,0.57794356,0.39039245,0.4445818,0.4685464,0.56991655,0.51803243,7.871348e-05,0.3750174,0.5598147,749,140,219,18,16,24,132,88,7,28,77
56,56.31512,0.11037737,0.31332082,0.55539864,0.57668936,0.3933533,0.44491702,0.4702822,0.56957203,0.51797557,8.036684e-05,0.37672567,0.5589693,749,140,219,18,16,24,132,88,7,28,77
57,55.38264,0.11226416,0.31144464,0.55404496,0.5750079,0.3970033,0.44517964,0.4720944,0.5697318,0.5179832,8.2082646e-05,0.37858245,0.5580354,749,140,219,18,16,24,132,88,7,28,77
58,54.512768,0.111320734,0.31050658,0.5529617,0.57333463,0.40007508,0.44468552,0.4736781,0.57013214,0.51802415,8.385981e-05,0.38040057,0.5571318,749,140,219,18,16,24,132,88,7,28,77
59,53.664375,0.111320734,0.30956846,0.55177516,0.5720227,0.40279004,0.44553524,0.47532168,0.5698635,0.5179673,8.569773e-05,0.3821402,0.5562941,749,140,219,18,16,24,132,88,7,28,77
60,52.8617,0.111320734,0.30956846,0.5505471,0.57069665,0.40592015,0.4453891,0.4768726,0.56993335,0.5179951,8.760426e-05,0.38388112,0.5554474,749,140,219,18,16,24,132,88,7,28,77
61,52.07173,0.111320734,0.30956846,0.5495007,0.5683082,0.40912715,0.44659013,0.47823036,0.5705079,0.5179941,8.957989e-05,0.3855951,0.5546591,749,140,219,18,16,24,132,88,7,28,77
62,51.389057,0.111320734,0.30956846,0.5484184,0.56765646,0.41156918,0.4466813,0.47955707,0.57000583,0.5178987,9.162869e-05,0.38723892,0.5538839,749,140,219,18,16,24,132,88,7,28,77
63,50.683094,0.11226416,0.30956846,0.54733884,0.565684,0.4140222,0.44790456,0.48156372,0.570342,0.51786315,9.3757655e-05,0.3888893,0.55311406,749,140,219,18,16,24,132,88,7,28,77
