Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
0,124.07294,0.12400001,0.29400003,0.67450917,0.59278667,0.8095358,0.69575065,0.6798389,476,85,98,95,98,100
1,124.072784,0.12400001,0.29400003,0.6745088,0.5927867,0.8095357,0.6957506,0.6798388,476,85,98,95,98,100
2,124.07265,0.12400001,0.29400003,0.67450845,0.59278685,0.8095357,0.6957504,0.6798388,476,85,98,95,98,100
3,124.07251,0.12400001,0.29400003,0.67450804,0.59278685,0.80953556,0.6957504,0.6798387,476,85,98,95,98,100
4,124.07234,0.12400001,0.29400003,0.6745076,0.59278697,0.8095354,0.69575024,0.67983866,476,85,98,95,98,100
5,124.072205,0.12400001,0.29400003,0.67450726,0.59278697,0.8095354,0.6957502,0.67983854,476,85,98,95,98,100
6,124.07204,0.12400001,0.29400003,0.6745069,0.592787,0.8095352,0.6957501,0.6798385,476,85,98,95,98,100
7,124.071884,0.12400001,0.29400003,0.6745064,0.5927871,0.80953515,0.69574994,0.6798384,476,85,98,95,98,100
8,124.071724,0.12400001,0.29400003,0.67450607,0.5927871,0.8095351,0.6957497,0.6798384,476,85,98,95,98,100
9,124.07159,0.12400001,0.29400003,0.6745057,0.59278715,0.80953497,0.69574964,0.67983836,476,85,98,95,98,100
10,124.07143,0.12400001,0.29400003,0.67450535,0.5927872,0.8095349,0.6957496,0.67983824,476,85,98,95,98,100
11,124.07128,0.12400001,0.29400003,0.6745049,0.5927872,0.8095348,0.6957494,0.6798382,476,85,98,95,98,100
12,124.071106,0.12400001,0.29400003,0.6745045,0.59278727,0.80953467,0.6957492,0.6798382,476,85,98,95,98,100
13,124.07097,0.12400001,0.29400003,0.6745041,0.59278727,0.80953455,0.6957492,0.6798381,476,85,98,95,98,100
14,124.0708,0.12400001,0.29400003,0.6745037,0.5927874,0.80953443,0.6957491,0.679838,476,85,98,95,98,100
15,124.070656,0.12400001,0.29400003,0.6745033,0.59278744,0.80953443,0.6957489,0.67983794,476,85,98,95,98,100
16,124.07048,0.12400001,0.29400003,0.67450285,0.59278744,0.80953425,0.6957489,0.6798378,476,85,98,95,98,100
