Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.254917175,0.749055028,0.71197331,272,143,129,0.160683751,0.00666666
1,0.25307858,0.748951614,0.711929679,272,143,129,0.160683751,0.00666666
2,0.251054645,0.748826444,0.711884618,272,143,129,0.160598278,0.00666666
3,0.248779774,0.74867636,0.71183455,272,143,129,0.159743607,0.00666666
4,0.2462264,0.748495877,0.711778641,272,143,129,0.157863259,0.00999999
5,0.243382007,0.748280466,0.711716533,272,143,129,0.15675211,0.016666651
6,0.240254492,0.748029172,0.711646855,272,143,129,0.15427351,0.013333321
7,0.236923993,0.747752488,0.711565554,272,143,129,0.152564108,0.00999999
8,0.233322099,0.747442722,0.711475313,272,143,129,0.151453018,0.013333321
9,0.229843348,0.747154474,0.711369455,272,143,129,0.150170922,0.016666651
10,0.226665229,0.746858418,0.711259484,272,143,129,0.149316251,0.019999981
11,0.22335884,0.746531367,0.711144865,272,143,129,0.148376048,0.019999981
12,0.220289916,0.746252954,0.711008251,272,143,129,0.147692323,0.023333311
13,0.217437014,0.745982945,0.710872114,272,143,129,0.147094011,0.026666641
14,0.213948414,0.745591998,0.710747302,272,143,129,0.145641029,0.026666641
15,0.210960686,0.74528724,0.710602164,272,143,129,0.144615412,0.029999971
16,0.207356483,0.744847894,0.710471094,272,143,129,0.143247843,0.029999971
17,0.204476878,0.74450469,0.710356593,272,143,129,0.142564118,0.026666641
18,0.201255739,0.744064867,0.710243762,272,143,129,0.140427351,0.036666691
19,0.198613331,0.743735135,0.710113406,272,143,129,0.139743567,0.033333361
20,0.195682824,0.743315041,0.710001767,272,143,129,0.138717949,0.033333361
21,0.193011075,0.742926419,0.709893882,272,143,129,0.138803422,0.033333361
22,0.189974949,0.742507935,0.709732652,272,143,129,0.138119638,0.033333361
23,0.187392056,0.742103815,0.70961529,272,143,129,0.137777805,0.033333361
24,0.184593841,0.741672456,0.709488153,272,143,129,0.136495709,0.029999971
25,0.182154566,0.741281867,0.709350407,272,143,129,0.136410236,0.029999971
26,0.179630101,0.7408759,0.709203899,272,143,129,0.13623929,0.029999971
27,0.177188635,0.740469754,0.709061027,272,143,129,0.135897458,0.029999971
28,0.174904063,0.740107059,0.708913386,272,143,129,0.134786308,0.029999971
29,0.172516406,0.739703715,0.708736002,272,143,129,0.134359002,0.029999971
30,0.170360833,0.739393413,0.708557367,272,143,129,0.132564127,0.029999971
31,0.16822505,0.739056468,0.708380282,272,143,129,0.131965816,0.029999971
32,0.165867805,0.738638699,0.708199322,272,143,129,0.131367505,0.046666682
33,0.163769707,0.738329172,0.707992256,272,143,129,0.13068378,0.046666682
