Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,84.39771,0.13266581,0.4480601,0.64365065,0.5705441,0.28333786,698,337,281,80
1,84.13783,0.13266581,0.4493116,0.64345986,0.57050365,0.2837053,698,337,281,80
2,83.87815,0.13266581,0.4493116,0.64326847,0.57046366,0.28407174,698,337,281,80
3,83.61856,0.13266581,0.4493116,0.64307624,0.5704244,0.28443718,698,337,281,80
4,83.35926,0.13266581,0.4493116,0.6428833,0.5703857,0.2848015,698,337,281,80
5,83.100006,0.13266581,0.4493116,0.6426897,0.5703476,0.285165,698,337,281,80
6,82.84102,0.13266581,0.4493116,0.64249533,0.57031,0.28552756,698,337,281,80
7,82.58214,0.13266581,0.4493116,0.6423003,0.57027304,0.28588918,698,337,281,80
8,82.323555,0.13266581,0.4493116,0.6421045,0.57023656,0.28624985,698,337,281,80
9,82.06516,0.13266581,0.4493116,0.64190805,0.57020074,0.2866097,698,337,281,80
10,81.806816,0.13266581,0.4493116,0.64171,0.57016605,0.28696865,698,337,281,80
11,81.54872,0.13266581,0.4505632,0.64151114,0.57013214,0.28732672,698,337,281,80
12,81.2909,0.13266581,0.4505632,0.6413115,0.5700987,0.287684,698,337,281,80
13,81.033394,0.13266581,0.4505632,0.64111125,0.57006586,0.2880404,698,337,281,80
14,80.776184,0.13266581,0.4505632,0.64091027,0.5700336,0.28839594,698,337,281,80
15,80.520195,0.13266581,0.4505632,0.64070857,0.5700031,0.28874618,698,337,281,80
16,80.264404,0.13266581,0.4505632,0.64050627,0.5699728,0.28909627,698,337,281,80
17,80.008934,0.13266581,0.4505632,0.6403033,0.569943,0.2894455,698,337,281,80
18,79.75392,0.13266581,0.4505632,0.64009976,0.56991374,0.2897939,698,337,281,80
19,79.49929,0.13266581,0.4505632,0.6398955,0.569885,0.29014158,698,337,281,80
20,79.245125,0.13266581,0.4505632,0.6396905,0.5698569,0.2904885,698,337,281,80
21,78.99115,0.13266581,0.45181477,0.6394835,0.56983024,0.2908343,698,337,281,80
22,78.73768,0.13266581,0.45181477,0.63927597,0.56980413,0.29117933,698,337,281,80
23,78.484665,0.13266581,0.45181477,0.6390677,0.5697785,0.29152355,698,337,281,80
24,78.23214,0.13266581,0.45181477,0.63885885,0.5697534,0.29186708,698,337,281,80
25,77.980194,0.13266581,0.45181477,0.63864934,0.56972885,0.29220992,698,337,281,80
26,77.72874,0.13266581,0.45181477,0.63843924,0.5697049,0.29255193,698,337,281,80
27,77.47788,0.13266581,0.45181477,0.63822854,0.5696812,0.2928933,698,337,281,80
28,77.22755,0.13266581,0.4505632,0.6380172,0.56965816,0.29323402,698,337,281,80
29,76.977875,0.13266581,0.4505632,0.63780534,0.56963557,0.29357395,698,337,281,80
30,76.72874,0.13266581,0.4505632,0.6375929,0.5696134,0.29391328,698,337,281,80
31,76.48048,0.13266581,0.4505632,0.6373806,0.56959146,0.29425183,698,337,281,80
32,76.23288,0.13266581,0.4505632,0.6371676,0.56957006,0.29458967,698,337,281,80
33,75.98591,0.13266581,0.4505632,0.63695395,0.56954914,0.2949269,698,337,281,80
34,75.73963,0.13266581,0.4505632,0.63673997,0.5695286,0.2952634,698,337,281,80
