Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,86.32273,0.041999996,0.38200003,0.73402816,0.28208217,407,284,123
1,69.259895,0.041999996,0.38200003,0.6958365,0.3211113,407,284,123
2,52.7877,0.04400003,0.384,0.650341,0.36733517,407,284,123
3,38.986366,0.04400003,0.384,0.6030276,0.41459674,407,284,123
4,31.452898,0.041999996,0.38599998,0.57758164,0.43951556,407,284,123
5,28.396492,0.041999996,0.38599998,0.5686,0.44886637,407,284,123
6,27.046455,0.041999996,0.388,0.5668086,0.4505347,407,284,123
7,26.134293,0.041999996,0.388,0.5615442,0.45608872,407,284,123
8,25.684404,0.041999996,0.388,0.5593675,0.45877543,407,284,123
9,25.441086,0.041999996,0.388,0.55951464,0.4587836,407,284,123
10,25.127008,0.041999996,0.388,0.560184,0.4577069,407,284,123
11,25.01349,0.041999996,0.38599998,0.56497604,0.45007837,407,284,123
12,24.729513,0.041999996,0.384,0.5582512,0.4594366,407,284,123
13,24.566597,0.041999996,0.384,0.5633706,0.45210043,407,284,123
14,24.046015,0.041999996,0.38200003,0.5571067,0.459014,407,284,123
15,25.4079,0.041999996,0.38,0.57398975,0.4398737,407,284,123
16,24.256039,0.041999996,0.38,0.5283127,0.49110934,407,284,123
17,39.391594,0.041999996,0.384,0.6379434,0.38062233,407,284,123
18,45.93557,0.04400003,0.38,0.42263886,0.60088944,407,284,123
19,58.292534,0.047999978,0.39600003,0.68735546,0.33453396,407,284,123
20,27.612432,0.047999978,0.394,0.5085959,0.50943065,407,284,123
21,26.70394,0.047999978,0.39,0.5541944,0.46491024,407,284,123
22,24.434385,0.047999978,0.39,0.539439,0.48040912,407,284,123
23,24.427801,0.047999978,0.39,0.55897224,0.45883304,407,284,123
24,23.044565,0.047999978,0.39,0.54432625,0.47315714,407,284,123
25,24.393858,0.047999978,0.39,0.5652803,0.45080847,407,284,123
26,22.456537,0.047999978,0.388,0.5326199,0.48549488,407,284,123
27,28.506363,0.047999978,0.384,0.5946024,0.42154947,407,284,123
28,26.871494,0.047999978,0.38599998,0.4809077,0.54179627,407,284,123
29,46.506588,0.047999978,0.39,0.6617192,0.35317856,407,284,123
30,41.652985,0.047999978,0.39,0.4195554,0.60633564,407,284,123
31,29.644423,0.047999978,0.38599998,0.60385036,0.41455388,407,284,123
32,22.981739,0.047999978,0.388,0.5230725,0.4970306,407,284,123
33,23.8289,0.047999978,0.38599998,0.56367624,0.45476338,407,284,123
34,22.408422,0.047999978,0.38599998,0.53055066,0.48956868,407,284,123
35,24.735685,0.047999978,0.38599998,0.5761795,0.4412364,407,284,123
36,22.89538,0.047999978,0.388,0.5109588,0.50906473,407,284,123
37,38.61183,0.047999978,0.39200002,0.6377424,0.37553647,407,284,123
38,42.319126,0.047999978,0.384,0.42352924,0.6039425,407,284,123
39,48.706116,0.046000004,0.38200003,0.6624706,0.35596392,407,284,123
40,30.456696,0.046000004,0.384,0.46417403,0.5631666,407,284,123
41,42.046303,0.047999978,0.38599998,0.64178693,0.37327102,407,284,123
42,26.560246,0.047999978,0.38,0.48790514,0.5319132,407,284,123
43,35.51504,0.046000004,0.388,0.62648886,0.38870972,407,284,123
44,46.665638,0.046000004,0.388,0.41187683,0.61493903,407,284,123
45,78.46118,0.046000004,0.38599998,0.70701104,0.2974541,407,284,123
46,30.285658,0.047999978,0.38200003,0.5413456,0.47314733,407,284,123
47,27.20367,0.047999978,0.38200003,0.56498384,0.44828263,407,284,123
48,24.104208,0.047999978,0.38200003,0.53286225,0.485863,407,284,123
49,25.709114,0.047999978,0.38200003,0.5761797,0.4462076,407,284,123
50,29.174044,0.047999978,0.38200003,0.47182724,0.55180573,407,284,123
51,53.99547,0.046000004,0.38200003,0.6710956,0.35072201,407,284,123
52,29.5594,0.046000004,0.37800002,0.46965596,0.56751835,407,284,123
53,53.130207,0.046000004,0.38200003,0.67638886,0.34322023,407,284,123
54,32.065983,0.046000004,0.376,0.45959204,0.575099,407,284,123
55,27.515514,0.046000004,0.376,0.56629276,0.46063623,407,284,123
56,25.256603,0.046000004,0.37800002,0.5646228,0.46116704,407,284,123
57,22.7875,0.047999978,0.384,0.55328876,0.47133672,407,284,123
58,21.36332,0.046000004,0.38200003,0.5461083,0.47711384,407,284,123
59,20.26407,0.046000004,0.384,0.5453656,0.4762852,407,284,123
60,18.479094,0.046000004,0.38,0.542131,0.47841027,407,284,123
