Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
0,108.19742,0.194,0.32,0.636403,0.5859589,0.7933758,0.6861644,0.6708782,472,85,95,96,97,99
1,108.19699,0.194,0.32,0.6364014,0.5859591,0.79337573,0.68616384,0.67087793,472,85,95,96,97,99
2,108.19656,0.194,0.32,0.6363997,0.58595926,0.7933757,0.6861633,0.67087775,472,85,95,96,97,99
3,108.196144,0.194,0.32,0.63639796,0.5859595,0.79337555,0.6861627,0.67087764,472,85,95,96,97,99
4,108.195724,0.194,0.32,0.6363963,0.5859596,0.7933755,0.6861622,0.6708776,472,85,95,96,97,99
5,108.1953,0.194,0.32,0.6363946,0.58595985,0.7933753,0.68616164,0.6708774,472,85,95,96,97,99
6,108.19487,0.194,0.32,0.63639295,0.58596003,0.7933753,0.68616116,0.6708772,472,85,95,96,97,99
7,108.194435,0.194,0.32,0.63639134,0.5859602,0.7933752,0.6861605,0.67087704,472,85,95,96,97,99
8,108.194016,0.194,0.32,0.6363897,0.5859604,0.7933751,0.68615997,0.67087686,472,85,95,96,97,99
9,108.19359,0.194,0.32,0.636388,0.5859607,0.793375,0.68615943,0.6708768,472,85,95,96,97,99
10,108.19316,0.194,0.32,0.6363863,0.5859608,0.79337496,0.68615896,0.6708767,472,85,95,96,97,99
11,108.19274,0.194,0.32,0.63638455,0.58596104,0.79337484,0.6861583,0.67087656,472,85,95,96,97,99
12,108.1923,0.194,0.32,0.63638294,0.5859612,0.7933747,0.6861577,0.6708764,472,85,95,96,97,99
13,108.19187,0.194,0.32,0.63638115,0.58596146,0.7933747,0.6861572,0.67087626,472,85,95,96,97,99
14,108.19144,0.194,0.31800002,0.6363794,0.58596164,0.79337454,0.68615675,0.67087626,472,85,95,96,97,99
15,108.19102,0.194,0.31800002,0.63637775,0.5859618,0.79337454,0.68615615,0.670876,472,85,95,96,97,99
16,108.19058,0.19599998,0.31800002,0.636376,0.58596206,0.79337436,0.6861557,0.6708758,472,85,95,96,97,99
17,108.190155,0.19599998,0.31800002,0.63637424,0.5859623,0.79337436,0.686155,0.6708757,472,85,95,96,97,99
18,108.18973,0.19599998,0.31800002,0.6363726,0.58596253,0.7933743,0.68615437,0.67087555,472,85,95,96,97,99
19,108.189285,0.19599998,0.31800002,0.6363709,0.58596265,0.79337424,0.6861538,0.6708753,472,85,95,96,97,99
20,108.18886,0.19599998,0.31800002,0.63636917,0.5859629,0.7933741,0.6861533,0.6708753,472,85,95,96,97,99
21,108.18843,0.19599998,0.31800002,0.63636744,0.58596313,0.79337406,0.68615276,0.6708752,472,85,95,96,97,99
22,108.18799,0.19599998,0.31800002,0.63636565,0.5859633,0.7933739,0.6861522,0.67087495,472,85,95,96,97,99
23,108.18756,0.19599998,0.31800002,0.6363639,0.58596355,0.7933738,0.6861516,0.6708747,472,85,95,96,97,99
24,108.18712,0.19599998,0.31800002,0.6363622,0.5859637,0.79337376,0.6861511,0.67087454,472,85,95,96,97,99
25,108.18667,0.19599998,0.31800002,0.63636047,0.5859639,0.79337364,0.6861505,0.6708744,472,85,95,96,97,99
26,108.18622,0.194,0.31800002,0.6363587,0.58596414,0.7933736,0.6861499,0.67087424,472,85,95,96,97,99
27,108.18578,0.194,0.31800002,0.636357,0.5859643,0.7933735,0.68614936,0.670874,472,85,95,96,97,99
28,108.18534,0.194,0.31800002,0.6363552,0.5859645,0.7933734,0.6861487,0.67087394,472,85,95,96,97,99
29,108.184906,0.194,0.31800002,0.63635343,0.58596474,0.79337335,0.6861483,0.67087376,472,85,95,96,97,99
30,108.184456,0.194,0.31800002,0.6363517,0.585965,0.7933733,0.68614763,0.67087376,472,85,95,96,97,99
