Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
30,0.210972995,0.694679916,0.562103212,0.805257976,0.667819798,0.621120632,482,91,99,96,97,99,0.255999982,0.008000016
31,0.210902914,0.694669783,0.562107265,0.805249989,0.66781646,0.621120393,482,91,99,96,97,99,0.254000008,0.008000016
32,0.210830227,0.694659293,0.562111616,0.805241585,0.667813003,0.621120155,482,91,99,96,97,99,0.254000008,0.008000016
33,0.210754603,0.694648504,0.562116086,0.805232823,0.667809427,0.621119976,482,91,99,96,97,99,0.254000008,0.00999999
34,0.210675806,0.694637299,0.562120795,0.805223644,0.667805791,0.621119738,482,91,99,96,97,99,0.254000008,0.00999999
35,0.21059452,0.694625974,0.562125683,0.805214107,0.667801857,0.621119559,482,91,99,96,97,99,0.254000008,0.00999999
36,0.210512042,0.694615066,0.562130809,0.805204093,0.667797744,0.62111932,482,91,99,96,97,99,0.251999974,0.00999999
37,0.210427612,0.694604158,0.562135994,0.805193722,0.667793572,0.621119082,482,91,99,96,97,99,0.254000008,0.00999999
38,0.210340247,0.694593012,0.562141299,0.805183232,0.667789161,0.621118963,482,91,99,96,97,99,0.251999974,0.00999999
39,0.210249245,0.694581449,0.562146902,0.805172265,0.667784572,0.621118784,482,91,99,96,97,99,0.25,0.00999999
40,0.21015501,0.694570303,0.562152684,0.805160522,0.667779744,0.621118665,482,91,99,96,97,99,0.25,0.00999999
41,0.210056677,0.694558918,0.562158823,0.805148184,0.667774737,0.621118426,482,91,99,96,97,99,0.251999974,0.00999999
42,0.209956527,0.694548488,0.562164962,0.80513531,0.667769611,0.621118307,482,91,99,96,97,99,0.251999974,0.00999999
43,0.2098528,0.694537878,0.5621714,0.805121839,0.667764068,0.621118188,482,91,99,96,97,99,0.251999974,0.00999999
44,0.209748447,0.694527745,0.562177837,0.805108249,0.667758405,0.621118069,482,91,99,96,97,99,0.251999974,0.00999999
45,0.209640384,0.694517553,0.562184513,0.805094063,0.667752445,0.62111789,482,91,99,96,97,99,0.251999974,0.00999999
46,0.209533811,0.694507182,0.562191367,0.805079758,0.6677472,0.621117651,482,91,99,96,97,99,0.251999974,0.00999999
47,0.209422633,0.694496572,0.562198818,0.805064261,0.667741656,0.621117473,482,91,99,96,97,99,0.251999974,0.00999999
48,0.209307268,0.694485664,0.562206328,0.805048525,0.667735994,0.621117234,482,91,99,96,97,99,0.251999974,0.00999999
49,0.209191218,0.694474638,0.562214315,0.805032551,0.667730093,0.621117055,482,91,99,96,97,99,0.25,0.00999999
50,0.20907034,0.69446373,0.562222421,0.805015862,0.667723894,0.621116877,482,91,99,96,97,99,0.25,0.00999999
51,0.208945826,0.694454014,0.562231123,0.8049981,0.667717636,0.621116698,482,91,99,96,97,99,0.25,0.00999999
52,0.208815455,0.69444406,0.562239945,0.804979563,0.66771102,0.621116459,482,91,99,96,97,99,0.25,0.00999999
53,0.208677635,0.694434047,0.56224966,0.804959476,0.667704165,0.621116161,482,91,99,96,97,99,0.25,0.012000024
54,0.20853579,0.694423735,0.562259555,0.80493921,0.667696834,0.621116042,482,91,99,96,97,99,0.25,0.013999999
55,0.208389148,0.694413304,0.562270045,0.804917812,0.667689323,0.621115744,482,91,99,96,97,99,0.25,0.013999999
56,0.20823577,0.694402874,0.562280834,0.804895878,0.667681336,0.621115506,482,91,99,96,97,99,0.251999974,0.013999999
57,0.208073214,0.694392502,0.562292516,0.804871738,0.667673171,0.621115327,482,91,99,96,97,99,0.251999974,0.013999999
58,0.207903057,0.694382071,0.562304616,0.804847062,0.667664528,0.621115148,482,91,99,96,97,99,0.251999974,0.013999999
59,0.207729802,0.694371462,0.562317252,0.80482167,0.667655468,0.62111491,482,91,99,96,97,99,0.25,0.013999999
60,0.207547382,0.694360614,0.562330306,0.804795444,0.667645931,0.621114731,482,91,99,96,97,99,0.25,0.013999999
61,0.207356453,0.694349647,0.562344611,0.804767549,0.667635977,0.621114492,482,91,99,96,97,99,0.25,0.013999999
62,0.20715642,0.694338441,0.562359571,0.804738522,0.667625427,0.621114433,482,91,99,96,97,99,0.248000026,0.013999999
63,0.206968755,0.694327235,0.562374771,0.804713309,0.667614341,0.621114135,482,91,99,96,97,99,0.248000026,0.013999999
64,0.2067267,0.69431597,0.562392354,0.804676592,0.667602777,0.621114016,482,91,99,96,97,99,0.245999992,0.013999999
65,0.206510991,0.694304645,0.562409878,0.804647148,0.667590678,0.621113777,482,91,99,96,97,99,0.248000026,0.013999999
66,0.20623827,0.694293737,0.562430024,0.804605424,0.667577684,0.621113658,482,91,99,96,97,99,0.245999992,0.013999999
67,0.205994964,0.694282889,0.562450051,0.804571927,0.667563975,0.62111342,482,91,99,96,97,99,0.251999974,0.013999999
68,0.205686226,0.694272637,0.562473238,0.804524183,0.667549789,0.62111336,482,91,99,96,97,99,0.25,0.013999999
69,0.205409363,0.694262385,0.562496364,0.804485798,0.66753459,0.621113122,482,91,99,96,97,99,0.25,0.013999999
70,0.205055594,0.694252074,0.562523603,0.804430962,0.667518377,0.621113181,482,91,99,96,97,99,0.25,0.013999999
71,0.204738453,0.694241643,0.562551022,0.804386854,0.667501807,0.621112943,482,91,99,96,97,99,0.251999974,0.013999999
72,0.204341277,0.694230855,0.562583327,0.804323375,0.667486668,0.621113002,482,91,99,96,97,99,0.248000026,0.013999999
73,0.203989312,0.694219768,0.562615991,0.804271698,0.667473078,0.621112764,482,91,99,96,97,99,0.25,0.013999999
74,0.203559116,0.694208503,0.562654078,0.804201841,0.667459607,0.621112764,482,91,99,96,97,99,0.245999992,0.013999999
75,0.203206271,0.694196939,0.562687635,0.804153144,0.667446315,0.621112645,482,91,99,96,97,99,0.248000026,0.013999999
76,0.202780157,0.694185138,0.562727511,0.804082692,0.667433977,0.621112764,482,91,99,96,97,99,0.25,0.013999999
77,0.202433676,0.694173098,0.562763512,0.804033577,0.667422056,0.621112645,482,91,99,96,97,99,0.251999974,0.013999999
78,0.20198755,0.6941607,0.562806726,0.80395776,0.667410553,0.621112645,482,91,99,96,97,99,0.25,0.013999999
79,0.201644093,0.694147766,0.562840462,0.803909004,0.667399824,0.621112645,482,91,99,96,97,99,0.25,0.013999999
80,0.201187268,0.694134653,0.562882781,0.803826153,0.667388856,0.621112883,482,91,99,96,97,99,0.25,0.013999999
81,0.20081453,0.694121361,0.562922239,0.803767681,0.66737777,0.621112764,482,91,99,96,97,99,0.248000026,0.013999999
82,0.200333565,0.694107533,0.562968433,0.803677857,0.667366505,0.621112943,482,91,99,96,97,99,0.248000026,0.013999999
83,0.199972957,0.694093585,0.563005805,0.80362606,0.66735512,0.621112883,482,91,99,96,97,99,0.244000018,0.013999999
84,0.199494004,0.694079399,0.56304872,0.803540528,0.667343557,0.6211133,482,91,99,96,97,99,0.241999984,0.013999999
85,0.199132144,0.694064975,0.563086033,0.803489923,0.667332053,0.621113479,482,91,99,96,97,99,0.241999984,0.013999999
86,0.198619425,0.694050729,0.563132942,0.803396046,0.667320311,0.621113956,482,91,99,96,97,99,0.241999984,0.013999999
