PBC_p,Etr,Eval
1.0,0.42172295451164243,0.42163461446762085
2.0,0.47362403869628905,0.4759615361690521
3.0,0.46011699438095094,0.46466346383094786
4.0,0.49534698128700255,0.4942307710647583
5.0,0.47947354316711427,0.48076923489570617
6.0,0.4504653036594391,0.45528846979141235
7.0,0.456554114818573,0.46562500596046447
8.0,0.44206328988075255,0.44711539149284363
9.0,0.43132144808769224,0.446875
10.0,0.4221749484539032,0.44759615063667296
11.0,0.41842594742774963,0.44086539149284365
12.0,0.4227333188056946,0.45360576510429385
13.0,0.41754852533340453,0.4399038553237915
14.0,0.41574048399925234,0.4483173131942749
15.0,0.4139058828353882,0.453846150636673
16.0,0.4141983509063721,0.4466346263885498
17.0,0.411273592710495,0.45673076510429383
18.0,0.409013557434082,0.45360577702522276
19.0,0.4107684075832367,0.4540865421295166
20.0,0.40590268969535825,0.4557692289352417
21.0,0.4006647229194641,0.4406250059604645
22.0,0.4006647109985352,0.45600961446762084
23.0,0.3951076865196228,0.44495192766189573
24.0,0.3979260802268982,0.4487980842590332
25.0,0.3872374415397644,0.4387019217014313
26.0,0.39263494610786437,0.4456730782985687
27.0,0.39146503806114197,0.4572115421295166
28.0,0.38824779987335206,0.45456730723381045
29.0,0.3868917763233185,0.4543269217014313
30.0,0.38367454409599305,0.45000000596046447
31.0,0.38511034846305847,0.4473557710647583
32.0,0.3797394335269928,0.4459134578704834
33.0,0.3821855902671814,0.43942307233810424
34.0,0.3804307281970978,0.45384615659713745
35.0,0.37947354316711424,0.44206730723381044
36.0,0.3761499524116516,0.4415865302085876
37.0,0.3758840799331665,0.44086538553237914
38.0,0.37325180172920225,0.45240384340286255
39.0,0.3718160092830658,0.4540865421295166
40.0,0.36687051653862,0.444471150636673
41.0,0.372268009185791,0.446153849363327
42.0,0.36806700229644773,0.44302884936332704
43.0,0.363998943567276,0.44447115659713743
44.0,0.3630683243274689,0.446153849363327
45.0,0.36399893164634706,0.44447115659713743
46.0,0.36067535281181334,0.44375
47.0,0.35565009117126467,0.4418269157409668
48.0,0.3553842008113861,0.440625
49.0,0.3538952529430389,0.45192307233810425
50.0,0.3551449179649353,0.4468750059604645
51.0,0.35155543088912966,0.444471150636673
52.0,0.3514225006103516,0.4574519217014313
53.0,0.3486838638782501,0.44975961446762086
54.0,0.3484711527824402,0.4454326927661896
55.0,0.34698217511177065,0.44302883744239807
56.0,0.3428875207901001,0.4418269217014313
57.0,0.3454666256904602,0.4384615421295166
58.0,0.3401754915714264,0.438221150636673
59.0,0.3404147863388062,0.43798075914382933
60.0,0.3428609371185303,0.4372596085071564
61.0,0.33693166375160216,0.4463942289352417
62.0,0.34041479229927063,0.4459134578704834
63.0,0.33778250217437744,0.4449519157409668
64.0,0.3352299928665161,0.43942307233810424
65.0,0.3290614187717438,0.44711537957191466
66.0,0.3327572524547577,0.4425480842590332
67.0,0.3328370153903961,0.44951923489570617
68.0,0.32501994371414183,0.44591346979141233
69.0,0.3285296380519867,0.43365384340286256
70.0,0.32653549313545227,0.43701923489570615
71.0,0.32283967137336733,0.4480769276618958
72.0,0.3276788115501404,0.43798076510429385
73.0,0.3233714461326599,0.43894230723381045
74.0,0.32265354990959166,0.453125
75.0,0.32347779870033266,0.45168269872665406
76.0,0.320021265745163,0.44495192766189573
77.0,0.3185589015483856,0.4418269157409668
78.0,0.32012763023376467,0.4543269217014313
79.0,0.315580952167511,0.4447115421295166
80.0,0.31488966941833496,0.43317306637763975
81.0,0.316591340303421,0.4538461446762085
82.0,0.3158468544483185,0.4459134638309479
83.0,0.3108747601509094,0.4442307710647583
84.0,0.31058229804039,0.4485576868057251
85.0,0.3109545409679413,0.4408653736114502
86.0,0.30829566717147827,0.4427884638309479
87.0,0.3093857944011688,0.4415865421295166
88.0,0.31183196902275084,0.4478365480899811
89.0,0.3095719158649445,0.4360576868057251
90.0,0.3078702449798584,0.43822115659713745
91.0,0.3043871283531189,0.4415865421295166
92.0,0.3045200705528259,0.4519230663776398
93.0,0.30281839370727537,0.4401442170143127
94.0,0.30364265441894533,0.4420673131942749
95.0,0.29779314398765566,0.44302884936332704
96.0,0.3009040176868439,0.44759616255760193
97.0,0.2985110282897949,0.4401442289352417
98.0,0.29928210377693176,0.441346150636673
99.0,0.29949482083320617,0.4567307770252228
100.0,0.292900824546814,0.4399038374423981
