SVM_C(2**),SVM_gamma(2**),Etr,Eval
-9.0,-14.0,0.3,0.3
-9.0,-13.0,0.3,0.3
-9.0,-12.0,0.3,0.3
-9.0,-11.0,0.3,0.3
-9.0,-10.0,0.3,0.3
-9.0,-9.0,0.3,0.3
-9.0,-8.0,0.3,0.3
-9.0,-7.0,0.3,0.3
-9.0,-6.0,0.3,0.3
-9.0,-5.0,0.3,0.3
-9.0,-4.0,0.3,0.3
-9.0,-3.0,0.3,0.3
-9.0,-2.0,0.3,0.3
-9.0,-1.0,0.3,0.3
-9.0,0.0,0.3,0.3
-9.0,1.0,0.3,0.3
-9.0,2.0,0.3,0.3
-9.0,3.0,0.3,0.3
-9.0,4.0,0.3,0.3
-9.0,5.0,0.3,0.3
-9.0,6.0,0.3,0.3
-9.0,7.0,0.3,0.3
-9.0,8.0,0.3,0.3
-9.0,9.0,0.3,0.3
-9.0,10.0,0.3,0.3
-9.0,11.0,0.3,0.3
-9.0,12.0,0.3,0.3
-9.0,13.0,0.3,0.3
-9.0,14.0,0.3,0.3
-9.0,15.0,0.3,0.3
-8.0,-15.0,0.3,0.3
-8.0,-14.0,0.3,0.3
-8.0,-13.0,0.3,0.3
-8.0,-12.0,0.3,0.3
-8.0,-11.0,0.3,0.3
-8.0,-10.0,0.3,0.3
-8.0,-9.0,0.3,0.3
-8.0,-8.0,0.3,0.3
-8.0,-7.0,0.3,0.3
-8.0,-6.0,0.3,0.3
-8.0,-5.0,0.3,0.3
-8.0,-4.0,0.3,0.3
-8.0,-3.0,0.3,0.3
-8.0,-2.0,0.3,0.3
-8.0,-1.0,0.3,0.3
-8.0,0.0,0.3,0.3
-8.0,1.0,0.3,0.3
-8.0,2.0,0.3,0.3
-8.0,3.0,0.3,0.3
-8.0,4.0,0.3,0.3
-8.0,5.0,0.3,0.3
-8.0,6.0,0.3,0.3
-8.0,7.0,0.3,0.3
-8.0,8.0,0.3,0.3
-8.0,9.0,0.3,0.3
-8.0,10.0,0.3,0.3
-8.0,11.0,0.3,0.3
-8.0,12.0,0.3,0.3
-8.0,13.0,0.3,0.3
-8.0,14.0,0.3,0.3
-8.0,15.0,0.3,0.3
-7.0,-15.0,0.3,0.3
-7.0,-14.0,0.3,0.3
-7.0,-13.0,0.3,0.3
-7.0,-12.0,0.3,0.3
-7.0,-11.0,0.3,0.3
-7.0,-10.0,0.3,0.3
-7.0,-9.0,0.3,0.3
-7.0,-8.0,0.3,0.3
-7.0,-7.0,0.3,0.3
-7.0,-6.0,0.3,0.3
-7.0,-5.0,0.3,0.3
-7.0,-4.0,0.3,0.3
-7.0,-3.0,0.3,0.3
-7.0,-2.0,0.3,0.3
-7.0,-1.0,0.3,0.3
-7.0,0.0,0.3,0.3
-7.0,1.0,0.3,0.3
-7.0,2.0,0.3,0.3
-7.0,3.0,0.3,0.3
-7.0,4.0,0.3,0.3
-7.0,5.0,0.3,0.3
-7.0,6.0,0.3,0.3
-7.0,7.0,0.3,0.3
-7.0,8.0,0.3,0.3
-7.0,9.0,0.3,0.3
-7.0,10.0,0.3,0.3
-7.0,11.0,0.3,0.3
-7.0,12.0,0.3,0.3
-7.0,13.0,0.3,0.3
-7.0,14.0,0.3,0.3
-7.0,15.0,0.3,0.3
-6.0,-15.0,0.3,0.3
-6.0,-14.0,0.3,0.3
-6.0,-13.0,0.3,0.3
