PBC_p,Etr,Eval
1.0,0.0349026083946228,0.03582088947296143
2.0,0.036850649118423465,0.038805967569351195
3.0,0.047889608144760135,0.05074626803398132
4.0,0.04448053240776062,0.050746262073516846
5.0,0.0435064971446991,0.05074627995491028
6.0,0.04269481301307678,0.04477611780166626
7.0,0.035876625776290895,0.05223879814147949
8.0,0.03782467842102051,0.05820895433425903
9.0,0.032305198907852176,0.05223879814147949
10.0,0.033928579092025755,0.05223881006240845
11.0,0.0321428656578064,0.06417909264564514
12.0,0.0297078013420105,0.0507462739944458
13.0,0.03295454382896423,0.06716416478157043
14.0,0.03084415793418884,0.05970149636268616
15.0,0.028246760368347168,0.07164179086685181
16.0,0.030194813013076784,0.061194032430648804
17.0,0.02711038589477539,0.06716417670249938
18.0,0.024188315868377684,0.06268655657768249
19.0,0.02759740352630615,0.06567164063453675
20.0,0.025487011671066283,0.05223880410194397
21.0,0.02402597665786743,0.0731343150138855
22.0,0.023376619815826415,0.06567163467407226
23.0,0.027435058355331422,0.06716417670249938
24.0,0.024512988328933717,0.06865670680999755
25.0,0.024837660789489745,0.05522388219833374
26.0,0.025487011671066283,0.07014924883842469
27.0,0.023701298236846923,0.0701492428779602
28.0,0.026136356592178344,0.0597014844417572
29.0,0.02532467246055603,0.06716417074203491
30.0,0.02288961410522461,0.06567163467407226
31.0,0.02159090042114258,0.05970149040222168
32.0,0.02045455574989319,0.06716417670249938
33.0,0.020129871368408204,0.056716418266296385
34.0,0.020454549789428712,0.06716417074203491
35.0,0.018668824434280397,0.06268656253814697
36.0,0.019480514526367187,0.0701492428779602
37.0,0.018506497144699097,0.06567163467407226
38.0,0.01915583610534668,0.05970149040222168
39.0,0.018831157684326173,0.06567163467407226
40.0,0.017045456171035766,0.06716417670249938
41.0,0.016558438539505005,0.06716417670249938
42.0,0.01883116364479065,0.07014924883842469
43.0,0.017694807052612303,0.061194032430648804
44.0,0.0202921986579895,0.07164178490638733
45.0,0.018181818723678588,0.06417909860610962
46.0,0.01672077178955078,0.06417909860610962
47.0,0.01672077178955078,0.05671641230583191
48.0,0.014772725105285645,0.06417909860610962
49.0,0.016071420907974244,0.05970149040222168
50.0,0.017370128631591798,0.06567164063453675
51.0,0.015097397565841674,0.0641791045665741
52.0,0.01428571343421936,0.05970149040222168
53.0,0.01574675440788269,0.06567163467407226
54.0,0.013636362552642823,0.05820895433425903
55.0,0.013798701763153075,0.05970149636268616
56.0,0.013798701763153075,0.06567164063453675
57.0,0.01282467246055603,0.056716418266296385
58.0,0.013474023342132569,0.05970149636268616
59.0,0.014123380184173584,0.053731346130371095
60.0,0.013149338960647582,0.0641791045665741
61.0,0.013961035013198852,0.05970149636268616
62.0,0.012824678421020507,0.05373134016990662
63.0,0.012337654829025269,0.05970147848129272
64.0,0.01217532753944397,0.05970149040222168
65.0,0.01396104097366333,0.053731346130371095
66.0,0.012337666749954224,0.061194032430648804
67.0,0.012012982368469238,0.06417909860610962
68.0,0.011363637447357178,0.06268656253814697
69.0,0.013474029302597047,0.04776120185852051
70.0,0.011850643157958984,0.05970149040222168
71.0,0.010876613855361938,0.05223880410194397
72.0,0.010551941394805909,0.053731346130371095
73.0,0.012337660789489746,0.05373134016990662
74.0,0.01103895902633667,0.05970149040222168
75.0,0.0126623272895813,0.058208948373794554
76.0,0.010227268934249878,0.0597014844417572
77.0,0.009577924013137817,0.05373134016990662
78.0,0.012337660789489746,0.053731346130371095
79.0,0.009740257263183593,0.05373134016990662
80.0,0.009415578842163087,0.05820895433425903
81.0,0.008603888750076293,0.0507462739944458
82.0,0.010876619815826416,0.05820895433425903
83.0,0.007629865407943725,0.04776118397712707
84.0,0.00876622200012207,0.05820895433425903
85.0,0.00957791805267334,0.049253720045089724
86.0,0.009577924013137817,0.05373134016990662
87.0,0.009740257263183593,0.05074626803398132
88.0,0.007142853736877441,0.05522388219833374
89.0,0.008766239881515503,0.055223876237869264
90.0,0.007467526197433472,0.05970149636268616
91.0,0.00827922224998474,0.058208960294723514
92.0,0.007629865407943725,0.056716418266296385
93.0,0.006980514526367188,0.05671641230583191
94.0,0.00876622200012207,0.053731346130371095
95.0,0.007305186986923218,0.05522388219833374
96.0,0.007305181026458741,0.05223879814147949
97.0,0.006655836105346679,0.05074626803398132
98.0,0.006168824434280395,0.05223880410194397
99.0,0.006493496894836426,0.05074626803398132
100.0,0.005519479513168335,0.050746262073516846
