PBC_p,Etr,Eval
1.0,0.17333332896232606,0.1730000078678131
2.0,0.16555556058883666,0.17300000190734863
3.0,0.17899999618530274,0.1899999976158142
4.0,0.18333333730697632,0.19800000190734862
5.0,0.1971111238002777,0.214000004529953
6.0,0.20366666913032533,0.2200000047683716
7.0,0.21466666460037231,0.2369999945163727
8.0,0.22511112093925476,0.275
9.0,0.2291111171245575,0.2740000069141388
10.0,0.23366666436195374,0.28299999237060547
11.0,0.2287777841091156,0.29699999690055845
12.0,0.22755555510520936,0.2849999964237213
13.0,0.22299998998641968,0.3009999871253967
14.0,0.22577778100967408,0.3080000042915344
15.0,0.21844444274902344,0.3069999933242798
16.0,0.22188889384269714,0.2919999957084656
17.0,0.21488888263702394,0.2769999921321869
18.0,0.2168888807296753,0.2819999873638153
19.0,0.21822222471237182,0.29700000286102296
20.0,0.2131111204624176,0.30600000023841856
21.0,0.21488888263702394,0.2919999957084656
22.0,0.21466666460037231,0.30999999642372134
23.0,0.20711111426353454,0.3070000112056732
24.0,0.20500000715255737,0.30099999308586123
25.0,0.20244444608688356,0.3169999957084656
26.0,0.20211111307144164,0.29599997997283933
27.0,0.19722222089767455,0.30099999308586123
28.0,0.19466666579246522,0.3159999966621399
29.0,0.1867777705192566,0.3
30.0,0.18200000524520873,0.3009999990463257
31.0,0.17644444704055787,0.3040000081062317
32.0,0.17288889288902282,0.2949999988079071
33.0,0.17511110305786132,0.3039999961853027
34.0,0.17177777886390685,0.30299999117851256
35.0,0.16833333373069764,0.2910000026226044
36.0,0.16166666746139527,0.3120000004768372
37.0,0.1585555613040924,0.3049999952316284
38.0,0.15855555534362792,0.29999999403953553
39.0,0.1541111171245575,0.29299999475479127
40.0,0.15255555510520935,0.2900000035762787
41.0,0.1482222318649292,0.3029999971389771
42.0,0.15277777314186097,0.30099999308586123
43.0,0.1446666717529297,0.285999995470047
44.0,0.1455555558204651,0.2949999928474426
45.0,0.14399999976158143,0.30299999117851256
46.0,0.14144444465637207,0.2869999885559082
47.0,0.1398888945579529,0.3039999961853027
48.0,0.13733333945274354,0.2919999897480011
49.0,0.1338888883590698,0.27700000405311587
50.0,0.13322221040725707,0.29800000190734866
51.0,0.13222220540046692,0.29299999475479127
52.0,0.1305555522441864,0.29300000667572024
53.0,0.1291111171245575,0.3079999923706055
54.0,0.12777777314186095,0.2949999928474426
55.0,0.12188889384269715,0.2849999964237213
56.0,0.12322221994400025,0.2919999897480011
57.0,0.11922222971916199,0.28600000143051146
58.0,0.1201111137866974,0.2910000026226044
59.0,0.11944444179534912,0.2990000009536743
60.0,0.11555555462837219,0.2809999942779541
61.0,0.11711112260818482,0.2930000007152557
62.0,0.11288889050483704,0.28600000143051146
63.0,0.11200000643730164,0.29399999380111697
64.0,0.10744444131851197,0.2909999907016754
65.0,0.10833333134651184,0.30600000023841856
66.0,0.1062222182750702,0.28899999260902404
67.0,0.10400000214576721,0.2960000097751617
68.0,0.10311111211776733,0.3029999971389771
69.0,0.10244445204734802,0.29299999475479127
70.0,0.09855554699897766,0.29100000858306885
71.0,0.10111111402511597,0.2849999964237213
72.0,0.09722221493721009,0.28700000047683716
73.0,0.09800000190734863,0.3
74.0,0.09399999380111694,0.2979999899864197
75.0,0.09233332872390747,0.2919999897480011
76.0,0.09044444561004639,0.2909999966621399
77.0,0.09233332872390747,0.299999988079071
78.0,0.08811110854148865,0.29200000166893003
79.0,0.08366666436195373,0.2909999907016754
80.0,0.08311111330986024,0.2949999928474426
81.0,0.08011111617088318,0.2869999945163727
82.0,0.08055555820465088,0.2939999997615814
83.0,0.07755555510520935,0.2909999966621399
84.0,0.07355555295944213,0.29800000190734866
85.0,0.075,0.28100000619888305
86.0,0.07066665887832642,0.289000004529953
87.0,0.06955555677413941,0.2899999976158142
88.0,0.06766666173934936,0.2959999978542328
89.0,0.06422222256660462,0.2949999988079071
90.0,0.0643333375453949,0.2930000007152557
91.0,0.06044443249702454,0.28799999356269834
92.0,0.05822223424911499,0.2900000035762787
93.0,0.055666661262512206,0.2809999942779541
94.0,0.05500000715255737,0.2829999983310699
95.0,0.052777791023254396,0.28799999952316285
96.0,0.05211111307144165,0.285999995470047
97.0,0.04844445586204529,0.2790000021457672
98.0,0.0457777738571167,0.2809999942779541
99.0,0.047222214937210086,0.2819999933242798
100.0,0.04255555272102356,0.2800000011920929
