PBC_p,Etr,Eval
1.0,0.2233116388320923,0.22279411554336548
2.0,0.35618388652801514,0.35514705777168276
3.0,0.28673718571662904,0.29007352590560914
4.0,0.34694873094558715,0.3470588207244873
5.0,0.33384864330291747,0.33492647409439086
6.0,0.33523189425468447,0.3444852948188782
7.0,0.3462164342403412,0.3536764681339264
8.0,0.3173718512058258,0.32830883264541627
9.0,0.3168836534023285,0.3319852888584137
10.0,0.29491456747055056,0.30367647409439086
11.0,0.28409274816513064,0.3055146992206573
12.0,0.29682669043540955,0.31213235259056094
13.0,0.29450773596763613,0.31029412150382996
14.0,0.2875101685523987,0.3099264681339264
15.0,0.2859235107898712,0.3051470577716827
16.0,0.28226199746131897,0.30735294222831727
17.0,0.28144834041595457,0.310661768913269
18.0,0.2830756723880768,0.31102941036224363
19.0,0.27799022793769834,0.3077205836772919
20.0,0.27876322269439696,0.3069852888584137
21.0,0.27823432683944704,0.3044117748737335
22.0,0.27351505756378175,0.30735294222831727
23.0,0.2708706259727478,0.3
24.0,0.26993491053581237,0.3029411733150482
25.0,0.26928395628929136,0.31433823704719543
26.0,0.2693246603012085,0.31360294222831725
27.0,0.2645240008831024,0.29779412150382994
28.0,0.26257120370864867,0.30147058367729185
29.0,0.2688771367073059,0.3216911792755127
30.0,0.26147274374961854,0.30808823704719546
31.0,0.25858421325683595,0.31139705181121824
32.0,0.25642799735069277,0.30147058963775636
33.0,0.2553702175617218,0.3062500059604645
34.0,0.2543124437332153,0.3117647111415863
35.0,0.2542717695236206,0.2944852948188782
36.0,0.2552481651306152,0.320955890417099
37.0,0.2473148822784424,0.31801470518112185
38.0,0.24890154600143433,0.30588234663009645
39.0,0.24890154600143433,0.2941176414489746
40.0,0.24308381080627442,0.3091911792755127
41.0,0.24194467067718506,0.3095588207244873
42.0,0.24641985893249513,0.3011029362678528
43.0,0.2422701358795166,0.2985294103622437
44.0,0.24381611347198487,0.29852940440177916
45.0,0.24328722953796386,0.2948529303073883
46.0,0.24178192615509034,0.3113970637321472
47.0,0.23515053391456603,0.29999999403953553
48.0,0.23458096385002136,0.30367647409439086
49.0,0.23478437662124635,0.30772058963775634
50.0,0.23429617285728455,0.3136029362678528
51.0,0.22884458899497986,0.3080882430076599
52.0,0.2335231900215149,0.3091911733150482
53.0,0.23128559589385986,0.3018382370471954
54.0,0.22599674463272096,0.29522058367729187
55.0,0.2340113937854767,0.3062499940395355
56.0,0.22843776345252992,0.3033088147640228
57.0,0.22591538429260255,0.3088235378265381
58.0,0.22497965693473815,0.29558823704719545
59.0,0.2242880344390869,0.31139705777168275
60.0,0.22497966289520263,0.2985294103622437
61.0,0.2230675458908081,0.31139705777168275
62.0,0.2217656672000885,0.2988970518112183
63.0,0.2237591564655304,0.29191176891326903
64.0,0.22294548749923707,0.29558823704719545
65.0,0.21940601468086243,0.31397058963775637
66.0,0.21867371797561647,0.28970588445663453
67.0,0.2154190421104431,0.2992647111415863
68.0,0.21814484000205994,0.30919116735458374
69.0,0.21476810574531555,0.29375000596046447
70.0,0.21529698967933655,0.30698528289794924
71.0,0.2149308443069458,0.30183823108673097
72.0,0.21269325017929078,0.30625
73.0,0.2116761565208435,0.3117647051811218
74.0,0.21037428975105285,0.30514706373214723
75.0,0.2111472725868225,0.2985294103622437
76.0,0.20736371874809265,0.2985294222831726
77.0,0.20777055025100707,0.3055147171020508
78.0,0.2069161891937256,0.3047794163227081
79.0,0.20650936365127565,0.29558823108673093
80.0,0.2048413336277008,0.30625
81.0,0.20561432242393493,0.3117647051811218
82.0,0.20512611865997316,0.2977941155433655
83.0,0.20545158982276918,0.29742646813392637
84.0,0.2014239251613617,0.29117647409439085
85.0,0.19906428456306458,0.2963235378265381
86.0,0.1993083894252777,0.30257352590560915
87.0,0.198087877035141,0.29889705777168274
88.0,0.19764035940170288,0.30404412150383
89.0,0.19841334819793702,0.2974264621734619
90.0,0.19975590109825134,0.3066176474094391
91.0,0.19768103957176208,0.3033088266849518
92.0,0.19442636370658875,0.3007352948188782
93.0,0.1973962664604187,0.30110293030738833
94.0,0.1960943877696991,0.29558823108673093
95.0,0.19666395783424379,0.3044117629528046
96.0,0.19048006534576417,0.30808824896812437
97.0,0.1916192054748535,0.3033088207244873
98.0,0.19133442044258117,0.2904411792755127
99.0,0.18921886682510375,0.29154412150382997
100.0,0.18820179104804993,0.3029411792755127
