PBC_p,Etr,Eval
1.0,0.17972666025161743,0.1788659870624542
2.0,0.13513667583465577,0.13402060866355897
3.0,0.15250568985939025,0.15567009449005126
4.0,0.1498291552066803,0.1505154550075531
5.0,0.1393507957458496,0.14896907210350036
6.0,0.140603643655777,0.14690721035003662
7.0,0.14168564677238465,0.1489690661430359
8.0,0.1404327929019928,0.14793814420700074
9.0,0.13399772644042968,0.1448453485965729
10.0,0.11679954528808593,0.12113401293754578
11.0,0.11560364365577698,0.12886597514152526
12.0,0.11742597222328185,0.12422679662704468
13.0,0.11714123487472534,0.12577318549156188
14.0,0.11884966492652893,0.1335051476955414
15.0,0.11173121333122253,0.12061854600906372
16.0,0.10620728731155396,0.12371132969856262
17.0,0.10637813210487365,0.11804122924804687
18.0,0.10387244820594788,0.11546391248703003
19.0,0.1060934066772461,0.12164947390556335
20.0,0.10022777915000916,0.12061855792999268
21.0,0.10501139163970948,0.12628865838050843
22.0,0.10085420608520508,0.1298969030380249
23.0,0.09817767143249512,0.11804122924804687
24.0,0.1003416895866394,0.12783504724502565
25.0,0.0980637788772583,0.12783504128456116
26.0,0.10227791070938111,0.12731958031654358
27.0,0.0938496470451355,0.11597937345504761
28.0,0.09595672488212585,0.122680401802063
29.0,0.10045557618141174,0.12371132969856262
30.0,0.09612756371498107,0.1206185519695282
31.0,0.09715262055397034,0.12525771856307982
32.0,0.09527333974838256,0.11443297863006592
33.0,0.0927107036113739,0.11907216310501098
34.0,0.0940204918384552,0.12319586873054504
35.0,0.09373576045036316,0.11855669021606445
36.0,0.09253986477851868,0.1164948284626007
37.0,0.09339407086372375,0.12061854600906372
38.0,0.09384965300559997,0.12319586873054504
39.0,0.09043279886245728,0.11958761811256409
40.0,0.09555809497833252,0.12216494083404542
41.0,0.09060365557670594,0.11597937941551209
42.0,0.08758541941642761,0.11494844555854797
43.0,0.08889521360397339,0.12216493487358093
44.0,0.08684509396553039,0.11804122924804687
45.0,0.08468108773231506,0.12319586873054504
46.0,0.09077448844909668,0.1164948284626007
47.0,0.08752846717834473,0.11185566186904908
48.0,0.08701594471931458,0.1252577245235443
49.0,0.08712983131408691,0.11288658380508423
50.0,0.08468108177185059,0.10721648335456849
51.0,0.08593394160270691,0.11443298459053039
52.0,0.08724373579025269,0.1237113356590271
53.0,0.08439634442329406,0.10979380011558533
54.0,0.08280182480812073,0.11649484634399414
55.0,0.08559225797653199,0.11855669021606445
56.0,0.08194761276245117,0.11391751766204834
57.0,0.0837699294090271,0.10979380011558533
58.0,0.08223235011100768,0.1128865897655487
59.0,0.078246009349823,0.11701030135154725
60.0,0.08359908461570739,0.1211340069770813
61.0,0.08132117986679077,0.1097938060760498
62.0,0.08308655619621277,0.11082473397254944
63.0,0.08223234415054322,0.11597937941551209
64.0,0.08035306334495544,0.11237112879753113
65.0,0.08154897689819336,0.11649484634399414
66.0,0.08001139163970947,0.11649484038352967
67.0,0.08058086633682252,0.11340205669403076
68.0,0.07972666025161743,0.11340205073356628
69.0,0.0798974871635437,0.11701030135154725
70.0,0.08052391409873963,0.1082474172115326
71.0,0.07978359460830689,0.11237111687660217
72.0,0.08120728731155395,0.11237112283706666
73.0,0.07670841217041016,0.11391751766204834
74.0,0.07938496470451355,0.11701030135154725
75.0,0.07910022735595704,0.11649484038352967
76.0,0.07739179134368897,0.1097938060760498
77.0,0.07921411991119384,0.11340206265449523
78.0,0.07665147185325623,0.11082473397254944
79.0,0.07784737944602967,0.11134018898010253
80.0,0.07824602127075195,0.11340206265449523
81.0,0.07955580949783325,0.11701030135154725
82.0,0.07670843005180358,0.11340205669403076
83.0,0.07801823019981384,0.11546391248703003
84.0,0.07260820269584656,0.10618555545806885
85.0,0.0735763132572174,0.10618556141853333
86.0,0.07528474330902099,0.1118556559085846
87.0,0.07551252841949463,0.10979381203651428
88.0,0.07443052530288696,0.11391751766204834
89.0,0.07676538228988647,0.11649484038352967
90.0,0.07420272827148437,0.11134019494056702
91.0,0.0745444118976593,0.10515463948249817
92.0,0.07072893381118775,0.11185566782951355
93.0,0.07670842409133911,0.11391752362251281
94.0,0.07232346534729003,0.10773194432258607
95.0,0.07101367712020874,0.1025773048400879
96.0,0.07146925330162049,0.1118556559085846
97.0,0.07357630729675294,0.10670102238655091
98.0,0.07152618765830994,0.10927833914756775
99.0,0.07380409240722656,0.1149484395980835
100.0,0.07363325357437134,0.10979381203651428
