Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,83.82635,0.13266581,0.4493116,0.64323056,0.57045466,0.28414783,698,337,281,80
1,82.99662,0.13266581,0.4493116,0.64261323,0.57033,0.28531593,698,337,281,80
2,82.16882,0.13266581,0.4493116,0.6419886,0.57021147,0.28647432,698,337,281,80
3,81.34286,0.13266581,0.4505632,0.641354,0.5701007,0.2876235,698,337,281,80
4,80.52058,0.13266581,0.4505632,0.64071167,0.5699973,0.28875953,698,337,281,80
5,79.7033,0.13266581,0.4505632,0.6400626,0.5699012,0.28987908,698,337,281,80
6,78.890305,0.13266581,0.45181477,0.639407,0.5698105,0.2909906,698,337,281,80
7,78.08127,0.13266581,0.45181477,0.63874,0.56972843,0.29209313,698,337,281,80
8,77.277596,0.13266581,0.4505632,0.63806665,0.5696517,0.29318818,698,337,281,80
9,76.480194,0.13266581,0.4505632,0.63738805,0.56957966,0.294276,698,337,281,80
10,75.68963,0.13266581,0.4505632,0.63670474,0.5695119,0.2953568,698,337,281,80
11,74.90715,0.13266581,0.4505632,0.6360165,0.5694499,0.29642814,698,337,281,80
12,74.134674,0.13266581,0.4505632,0.6353239,0.5693947,0.29748687,698,337,281,80
13,73.37038,0.13266581,0.4505632,0.63462716,0.56934357,0.29853907,698,337,281,80
14,72.615036,0.13266581,0.4493116,0.6339272,0.5692961,0.29958454,698,337,281,80
15,71.86926,0.13391739,0.4493116,0.63322526,0.5692514,0.3006232,698,337,281,80
16,71.133125,0.13391739,0.4493116,0.63252115,0.5692096,0.3016555,698,337,281,80
17,70.40697,0.13391739,0.45181477,0.6318151,0.56917053,0.30268154,698,337,281,80
18,69.69115,0.13391739,0.4493116,0.6311081,0.56913376,0.30370116,698,337,281,80
19,68.9873,0.13391739,0.4493116,0.6304008,0.5691009,0.30470958,698,337,281,80
20,68.29387,0.13391739,0.4493116,0.6296923,0.569072,0.30571148,698,337,281,80
21,67.612656,0.13516897,0.4493116,0.62899053,0.56904,0.3067086,698,337,281,80
22,66.94108,0.13516897,0.4493116,0.6282824,0.5690145,0.30769914,698,337,281,80
23,66.28001,0.13516897,0.4493116,0.6275726,0.56899256,0.30868348,698,337,281,80
24,65.6302,0.13516897,0.4493116,0.6268645,0.56897146,0.30966157,698,337,281,80
25,64.99173,0.13391739,0.4480601,0.62615865,0.5689508,0.31063348,698,337,281,80
26,64.36448,0.13391739,0.4480601,0.6254553,0.56893086,0.31159934,698,337,281,80
27,63.749687,0.13266581,0.4480601,0.6247548,0.568913,0.31255513,698,337,281,80
28,63.14879,0.13266581,0.4480601,0.62405753,0.5688989,0.31349546,698,337,281,80
29,62.558796,0.13266581,0.4480601,0.62336385,0.5688845,0.31442982,698,337,281,80
30,61.97949,0.13266581,0.4493116,0.6226736,0.56886995,0.3153582,698,337,281,80
31,61.410755,0.13266581,0.4493116,0.6219874,0.5688552,0.31628054,698,337,281,80
32,60.85162,0.13266581,0.4493116,0.6213063,0.56883806,0.31719962,698,337,281,80
33,60.299454,0.13266581,0.4493116,0.62063247,0.56881315,0.31812802,698,337,281,80
34,59.75819,0.13266581,0.4480601,0.61996585,0.56878674,0.31905097,698,337,281,80
35,59.226387,0.13266581,0.44680852,0.6193025,0.56876004,0.3199688,698,337,281,80
36,58.70471,0.13266581,0.44680852,0.6186457,0.5687322,0.3208779,698,337,281,80
37,58.19181,0.13266581,0.44680852,0.6179916,0.56870395,0.32178387,698,337,281,80
38,57.687904,0.13266581,0.4480601,0.6173434,0.56868,0.32266352,698,337,281,80
39,57.19339,0.13266581,0.4480601,0.61670005,0.5686498,0.32355586,698,337,281,80
40,56.706593,0.13266581,0.4480601,0.6160601,0.56862456,0.32442552,698,337,281,80
41,56.231068,0.13266581,0.4480601,0.6154318,0.568591,0.32530275,698,337,281,80
42,55.76308,0.1314143,0.4480601,0.61480606,0.5685635,0.32615945,698,337,281,80
43,55.305176,0.1314143,0.4480601,0.61418945,0.5685292,0.32702002,698,337,281,80
44,54.852398,0.1314143,0.4480601,0.61357296,0.5684999,0.3278665,698,337,281,80
45,54.40933,0.1314143,0.4480601,0.61296487,0.5684645,0.32871643,698,337,281,80
46,53.971493,0.1314143,0.4480601,0.61235714,0.56843406,0.3295497,698,337,281,80
47,53.542828,0.1314143,0.4480601,0.6117587,0.5683965,0.33038837,698,337,281,80
48,53.11935,0.1314143,0.44680852,0.61116076,0.5683647,0.33120832,698,337,281,80
49,52.70631,0.1314143,0.44555694,0.6105725,0.56832755,0.33203238,698,337,281,80
50,52.296967,0.13016272,0.44555694,0.60998327,0.5682956,0.33284307,698,337,281,80
51,51.8975,0.13016272,0.44555694,0.6094065,0.56825566,0.33365268,698,337,281,80
52,51.499763,0.13016272,0.44555694,0.60882443,0.5682221,0.3344558,698,337,281,80
53,51.11394,0.13016272,0.44555694,0.6082659,0.5681756,0.33525243,698,337,281,80
54,50.727554,0.13016272,0.44555694,0.60769194,0.5681396,0.336047,698,337,281,80
55,50.351425,0.13016272,0.44555694,0.6071332,0.56809765,0.33683115,698,337,281,80
56,49.97593,0.1314143,0.44430536,0.6065674,0.56806016,0.33761612,698,337,281,80
57,49.611786,0.1314143,0.44430536,0.60601705,0.5680185,0.33838496,698,337,281,80
58,49.247974,0.1314143,0.44180226,0.6054577,0.56798494,0.3391505,698,337,281,80
59,48.894226,0.1314143,0.44180226,0.6049159,0.567942,0.33990768,698,337,281,80
60,48.5393,0.1314143,0.44180226,0.60436326,0.5679063,0.34066805,698,337,281,80
61,48.196205,0.1314143,0.44180226,0.60383105,0.56786287,0.3414081,698,337,281,80
62,47.849297,0.1314143,0.44180226,0.60328406,0.56782526,0.34216493,698,337,281,80
63,47.512375,0.1314143,0.44430536,0.60275203,0.5677877,0.34289166,698,337,281,80
64,47.17988,0.1314143,0.44430536,0.6022263,0.56774104,0.34363574,698,337,281,80
65,46.849663,0.1314143,0.44430536,0.6017004,0.56770074,0.3443624,698,337,281,80
66,46.526337,0.1314143,0.44430536,0.60118204,0.5676544,0.34509316,698,337,281,80
67,46.20235,0.13016272,0.44305384,0.6006505,0.56761414,0.3458141,698,337,281,80
68,45.888866,0.13016272,0.44305384,0.6001395,0.567571,0.34652203,698,337,281,80
69,45.576786,0.13016272,0.44305384,0.5996223,0.56753373,0.34722817,698,337,281,80
70,45.270042,0.13016272,0.44305384,0.5991235,0.56748265,0.3479294,698,337,281,80
71,44.962143,0.13016272,0.44305384,0.5986086,0.5674432,0.34863865,698,337,281,80
72,44.66449,0.13016272,0.44180226,0.59811485,0.56739545,0.3493208,698,337,281,80
73,44.36282,0.13016272,0.44180226,0.5976066,0.5673547,0.35002178,698,337,281,80
74,44.06153,0.13016272,0.44180226,0.5970966,0.5673085,0.35072112,698,337,281,80
75,43.766457,0.13016272,0.44180226,0.59660995,0.5672527,0.35142112,698,337,281,80
76,43.472393,0.13016272,0.44180226,0.59611577,0.5672044,0.35211888,698,337,281,80
77,43.182262,0.13016272,0.44180226,0.59563357,0.567145,0.35281587,698,337,281,80
78,42.89248,0.13016272,0.44055068,0.5951407,0.5670978,0.35351056,698,337,281,80
79,42.60836,0.13016272,0.44055068,0.5946582,0.5670395,0.35419363,698,337,281,80
80,42.325314,0.12891114,0.4392991,0.59416616,0.5669972,0.3548782,698,337,281,80
81,42.04453,0.12891114,0.4392991,0.59368354,0.5669461,0.355562,698,337,281,80
82,41.773804,0.12891114,0.4392991,0.5932219,0.56688887,0.35622877,698,337,281,80
83,41.500645,0.12891114,0.4392991,0.5927449,0.56684273,0.3568985,698,337,281,80
84,41.230515,0.12891114,0.4392991,0.59227186,0.56679124,0.35756788,698,337,281,80
85,40.96437,0.12891114,0.4380476,0.5918176,0.5667299,0.35823256,698,337,281,80
86,40.69716,0.12891114,0.4380476,0.59133476,0.56668264,0.35888767,698,337,281,80
87,40.43413,0.12891114,0.4392991,0.5908663,0.5666353,0.35954958,698,337,281,80
88,40.17309,0.12891114,0.4380476,0.59040374,0.5665817,0.36020252,698,337,281,80
89,39.918224,0.13016272,0.43304127,0.58995205,0.56652665,0.3608512,698,337,281,80
90,39.661297,0.13016272,0.43304127,0.5894921,0.56647205,0.36150265,698,337,281,80
91,39.41185,0.13016272,0.43304127,0.58905077,0.56641376,0.36214072,698,337,281,80
92,39.15665,0.13016272,0.43304127,0.5885787,0.5663627,0.36279052,698,337,281,80
93,38.912983,0.13016272,0.43304127,0.5881463,0.5663033,0.36341223,698,337,281,80
94,38.66721,0.13016272,0.43304127,0.587696,0.56625336,0.36405,698,337,281,80
95,38.422176,0.13016272,0.43304127,0.58726275,0.56618667,0.36468136,698,337,281,80
96,38.183144,0.13016272,0.43304127,0.58683026,0.5661276,0.36530414,698,337,281,80
97,37.93709,0.13016272,0.43304127,0.5863636,0.5660785,0.36593607,698,337,281,80
98,37.70127,0.13016272,0.43304127,0.5859412,0.5660118,0.3665537,698,337,281,80
99,37.464977,0.13016272,0.43304127,0.58550435,0.5659564,0.36717784,698,337,281,80
100,37.23445,0.13016272,0.43304127,0.585078,0.56590337,0.3677763,698,337,281,80
101,37.006195,0.13016272,0.43304127,0.5846733,0.5658267,0.36839733,698,337,281,80
102,36.77879,0.13016272,0.43053818,0.58425206,0.56577,0.3690008,698,337,281,80
103,36.550232,0.13016272,0.43053818,0.5838134,0.56571466,0.36960238,698,337,281,80
104,36.324863,0.1314143,0.43178976,0.58339673,0.5656547,0.3702089,698,337,281,80
105,36.10366,0.1314143,0.43178976,0.5829979,0.56558084,0.37080666,698,337,281,80
106,35.881275,0.1314143,0.43178976,0.58258104,0.5655226,0.37140557,698,337,281,80
107,35.65772,0.13266581,0.43178976,0.5821434,0.56547034,0.37199876,698,337,281,80
108,35.44294,0.13266581,0.43178976,0.5817489,0.56540245,0.37258536,698,337,281,80
109,35.223755,0.13266581,0.43178976,0.58135116,0.5653244,0.37318587,698,337,281,80
110,35.011482,0.13391739,0.43178976,0.58096033,0.56525606,0.3737607,698,337,281,80
111,34.796104,0.13391739,0.43178976,0.58054936,0.565194,0.37435165,698,337,281,80
112,34.586605,0.13391739,0.43178976,0.5801569,0.5651297,0.37492102,698,337,281,80
113,34.375458,0.13516897,0.43178976,0.57975364,0.5650567,0.37550408,698,337,281,80
