Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3,TestingError,TrainingError
0,0.14669550955295563,0.6558611989021301,0.6120317578315735,0.2404005527496338,699,330,281,88,0.4630788564682007,0.10638296604156494
1,0.14369440078735352,0.6557568907737732,0.6119738817214966,0.24071994423866272,699,330,281,88,0.46182727813720703,0.10638296604156494
2,0.14078360795974731,0.6556457281112671,0.6119107604026794,0.24104438722133636,699,330,281,88,0.4630788564682007,0.1076345443725586
3,0.13800589740276337,0.6555026769638062,0.611869752407074,0.24136114120483398,699,330,281,88,0.46433043479919434,0.1076345443725586
4,0.1353507786989212,0.6553459167480469,0.6118417382240295,0.24165679514408112,699,330,281,88,0.46433043479919434,0.10888612270355225
5,0.13279621303081512,0.6551820039749146,0.6118147969245911,0.24195875227451324,699,330,281,88,0.46683353185653687,0.10888612270355225
6,0.13043580949306488,0.6550302505493164,0.611788272857666,0.24223290383815765,699,330,281,88,0.4680851101875305,0.10888612270355225
7,0.12811438739299774,0.6548528075218201,0.6117797493934631,0.24251006543636322,699,330,281,88,0.47058820724487305,0.10888612270355225
8,0.1259189397096634,0.6546760201454163,0.6117650270462036,0.2427874058485031,699,330,281,88,0.46933668851852417,0.10888612270355225
9,0.12385556846857071,0.6544977426528931,0.6117649078369141,0.2430485635995865,699,330,281,88,0.46933668851852417,0.10638296604156494
10,0.12187173962593079,0.6543276906013489,0.6117522120475769,0.24332557618618011,699,330,281,88,0.47309136390686035,0.10387986898422241
11,0.11992444843053818,0.6541467308998108,0.6117451786994934,0.243601456284523,699,330,281,88,0.474342942237854,0.10513138771057129
12,0.11808846145868301,0.6539722681045532,0.611727774143219,0.2438925802707672,699,330,281,88,0.47684603929519653,0.1076345443725586
13,0.11627957224845886,0.6537837982177734,0.6117187738418579,0.2441844940185547,699,330,281,88,0.47684603929519653,0.10638296604156494
14,0.11454787850379944,0.6535971164703369,0.611706554889679,0.2444838583469391,699,330,281,88,0.47684603929519653,0.10638296604156494
15,0.11292041093111038,0.6533955931663513,0.6117152571678162,0.24476957321166992,699,330,281,88,0.47684603929519653,0.10638296604156494
16,0.111286461353302,0.6532068252563477,0.6116804480552673,0.24508891999721527,699,330,281,88,0.47559452056884766,0.10638296604156494
17,0.10970032215118408,0.6530030965805054,0.6116721630096436,0.2453818917274475,699,330,281,88,0.47309136390686035,0.10888612270355225
18,0.10819444805383682,0.6527995467185974,0.6116688847541809,0.24566060304641724,699,330,281,88,0.47309136390686035,0.10888612270355225
19,0.10664930939674377,0.6525890231132507,0.6116600036621094,0.24596114456653595,699,330,281,88,0.47309136390686035,0.10888612270355225
20,0.10518946498632431,0.6523836255073547,0.6116531491279602,0.24625164270401,699,330,281,88,0.474342942237854,0.10888612270355225
21,0.10373075306415558,0.6521726846694946,0.6116544008255005,0.2465306669473648,699,330,281,88,0.474342942237854,0.10888612270355225
22,0.10230927169322968,0.6519497036933899,0.611656665802002,0.24682258069515228,699,330,281,88,0.474342942237854,0.10888612270355225
23,0.10088000446557999,0.6517146229743958,0.6116498112678528,0.24713602662086487,699,330,281,88,0.474342942237854,0.10888612270355225
24,0.09955400228500366,0.6515030264854431,0.6116355061531067,0.24744315445423126,699,330,281,88,0.4718397855758667,0.1076345443725586
25,0.09815607964992523,0.6512587070465088,0.6116215586662292,0.24778032302856445,699,330,281,88,0.4718397855758667,0.10888612270355225
26,0.09687159210443497,0.6510046124458313,0.6116337180137634,0.2480718493461609,699,330,281,88,0.47058820724487305,0.10888612270355225
27,0.0955706313252449,0.6507710814476013,0.6116450428962708,0.24835561215877533,699,330,281,88,0.46933668851852417,0.10888612270355225
28,0.09427784383296967,0.6505097150802612,0.6116516590118408,0.2486744523048401,699,330,281,88,0.47058820724487305,0.10888612270355225
29,0.09299022704362869,0.6502553820610046,0.6116499900817871,0.2489796280860901,699,330,281,88,0.47058820724487305,0.10888612270355225
30,0.09176646173000336,0.6500198245048523,0.6116683483123779,0.24925599992275238,699,330,281,88,0.4718397855758667,0.10888612270355225
31,0.09053851664066315,0.6497631669044495,0.6116725206375122,0.24956607818603516,699,330,281,88,0.4718397855758667,0.1101377010345459
32,0.08935393393039703,0.6495220065116882,0.6116922497749329,0.24984359741210938,699,330,281,88,0.4718397855758667,0.1101377010345459
33,0.08817232400178909,0.6492539048194885,0.611717164516449,0.2501283884048462,699,330,281,88,0.4718397855758667,0.1101377010345459
34,0.08700817823410034,0.6490205526351929,0.6117225289344788,0.25042152404785156,699,330,281,88,0.4718397855758667,0.1101377010345459
35,0.08589982241392136,0.6487662196159363,0.6117416024208069,0.2507021129131317,699,330,281,88,0.47058820724487305,0.1101377010345459
36,0.08480086177587509,0.6485040783882141,0.6117759346961975,0.25097349286079407,699,330,281,88,0.47058820724487305,0.1101377010345459
37,0.08371942490339279,0.6482380032539368,0.6118006110191345,0.25124219059944153,699,330,281,88,0.47058820724487305,0.1101377010345459
38,0.082691490650177,0.6479936242103577,0.6118298768997192,0.2515101730823517,699,330,281,88,0.47058820724487305,0.1101377010345459
39,0.08166646212339401,0.6477577686309814,0.6118541955947876,0.2517651319503784,699,330,281,88,0.4718397855758667,0.10888612270355225
40,0.08066019415855408,0.6474963426589966,0.6118835210800171,0.25202855467796326,699,330,281,88,0.4718397855758667,0.1101377010345459
41,0.07965334504842758,0.6472460031509399,0.6118889451026917,0.25231483578681946,699,330,281,88,0.47309136390686035,0.11138921976089478
42,0.07870716601610184,0.6469987630844116,0.611910343170166,0.25256437063217163,699,330,281,88,0.474342942237854,0.11138921976089478
