Epoch,Loss,PhatBar_1,PhatBar_2,S,S_1,S_2,TestingError,TrainingError
0,0.04401208832859993,0.5600297451019287,0.7219017148017883,129,79,50,0.05278593301773071,0.0
1,0.03900101035833359,0.565012514591217,0.7200096845626831,129,79,50,0.05278593301773071,0.0
2,0.035388097167015076,0.5680540800094604,0.719621479511261,129,79,50,0.05278593301773071,0.0
3,0.03262431174516678,0.5697391033172607,0.7205657958984375,129,79,50,0.05278593301773071,0.0
4,0.030375102534890175,0.5704076886177063,0.7227119207382202,129,79,50,0.05278593301773071,0.0
5,0.028432203456759453,0.570351779460907,0.7258954644203186,129,79,50,0.05278593301773071,0.0
6,0.026674900203943253,0.5697723031044006,0.7299658060073853,129,79,50,0.05278593301773071,0.0
7,0.025035351514816284,0.5688081383705139,0.73476243019104,129,79,50,0.05278593301773071,0.0
8,0.02347605675458908,0.5675615668296814,0.7400758266448975,129,79,50,0.05278593301773071,0.0
9,0.021987177431583405,0.5661062598228455,0.7456771731376648,129,79,50,0.05278593301773071,0.0
10,0.020574461668729782,0.5645017623901367,0.7513200640678406,129,79,50,0.05278593301773071,0.0
11,0.01925109326839447,0.5627989172935486,0.7567704916000366,129,79,50,0.05278593301773071,0.0
12,0.018029462546110153,0.561042308807373,0.7618417143821716,129,79,50,0.05278593301773071,0.0
13,0.01691654697060585,0.5592714548110962,0.7664130926132202,129,79,50,0.05278593301773071,0.0
14,0.015912175178527832,0.5575186014175415,0.7704348564147949,129,79,50,0.05278593301773071,0.0
15,0.015010740607976913,0.5558086633682251,0.7739115953445435,129,79,50,0.05278593301773071,0.0
16,0.014203069731593132,0.5541589260101318,0.7768835425376892,129,79,50,0.05278593301773071,0.0
17,0.013706030324101448,0.552657425403595,0.7767475843429565,129,79,50,0.05278593301773071,0.0
18,0.013081519864499569,0.55124831199646,0.7775701880455017,129,79,50,0.05278593301773071,0.0
19,0.012542955577373505,0.5498771071434021,0.7792247533798218,129,79,50,0.05278593301773071,0.0
20,0.012145458720624447,0.5486505627632141,0.7785045504570007,129,79,50,0.05278593301773071,0.0
21,0.01160324364900589,0.5474191308021545,0.7810295224189758,129,79,50,0.05278593301773071,0.0
22,0.011321673169732094,0.5463217496871948,0.7805324792861938,129,79,50,0.05278593301773071,0.0
23,0.010863127186894417,0.5452748537063599,0.7815725207328796,129,79,50,0.05278593301773071,0.0
24,0.010521149262785912,0.5442704558372498,0.7824098467826843,129,79,50,0.049853384494781494,0.0
25,0.010216780938208103,0.5433600544929504,0.7821197509765625,129,79,50,0.049853384494781494,0.0
26,0.009834740310907364,0.5424434542655945,0.7839483618736267,129,79,50,0.049853384494781494,0.0
27,0.009645204991102219,0.5416566729545593,0.7826173901557922,129,79,50,0.049853384494781494,0.0
28,0.009301796555519104,0.5408464074134827,0.7843323349952698,129,79,50,0.049853384494781494,0.0
29,0.009081065654754639,0.5401162505149841,0.7844429612159729,129,79,50,0.049853384494781494,0.0
30,0.008826913312077522,0.5394405126571655,0.7844370007514954,129,79,50,0.049853384494781494,0.0
31,0.008563674986362457,0.5387698411941528,0.7854598164558411,129,79,50,0.049853384494781494,0.0
