Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,400.69397,0.07956523,0.11260867,0.72096413,0.57045835,2054,1203,851
1,376.00415,0.07782608,0.10913044,0.7075596,0.57632846,2054,1203,851
2,348.18384,0.07565218,0.10391307,0.69199836,0.5809965,2054,1203,851
3,315.165,0.073043466,0.10391307,0.6710479,0.5879244,2054,1203,851
4,275.68884,0.07260871,0.10478258,0.640665,0.59842104,2054,1203,851
5,238.41885,0.075217366,0.102173924,0.59979725,0.6116263,2054,1203,851
6,217.62914,0.075217366,0.10130435,0.5622837,0.6186925,2054,1203,851
7,207.3927,0.07478261,0.10130435,0.5412376,0.6162451,2054,1203,851
8,200.66908,0.07565218,0.10086954,0.5347139,0.6093541,2054,1203,851
9,189.15802,0.07434785,0.10086954,0.5376111,0.5987409,2054,1203,851
10,182.68213,0.07347828,0.09956521,0.53301394,0.594975,2054,1203,851
11,169.267,0.075217366,0.09913045,0.53273475,0.5773187,2054,1203,851
12,169.32143,0.07565218,0.09782606,0.54354995,0.5757671,2054,1203,851
13,168.34067,0.07478261,0.09913045,0.52856976,0.57314736,2054,1203,851
14,245.63847,0.07478261,0.102173924,0.6273016,0.5515129,2054,1203,851
15,236.9955,0.07913041,0.093043506,0.45421705,0.6138111,2054,1203,851
16,220.31543,0.08130437,0.098695636,0.5574665,0.53373474,2054,1203,851
17,340.27823,0.07999998,0.10086954,0.5334945,0.6673377,2054,1203,851
18,329.70392,0.0804348,0.09956521,0.64448124,0.445529,2054,1203,851
19,412.58685,0.0826087,0.10173911,0.40318522,0.7207865,2054,1203,851
20,332.76477,0.082173884,0.102173924,0.6399173,0.52053386,2054,1203,851
21,268.4089,0.083043456,0.10086954,0.55313367,0.60224795,2054,1203,851
22,255.54797,0.08130437,0.096521735,0.5945997,0.5230135,2054,1203,851
23,268.11905,0.082173884,0.09956521,0.52080166,0.62441933,2054,1203,851
24,387.90543,0.08173913,0.09695655,0.68074286,0.4786486,2054,1203,851
25,288.78134,0.08130437,0.09782606,0.5190254,0.6402872,2054,1203,851
26,329.8039,0.08173913,0.09956521,0.61732906,0.46233967,2054,1203,851
27,307.90363,0.07956523,0.09695655,0.55886096,0.61763895,2054,1203,851
28,288.6841,0.07913041,0.094347835,0.58301544,0.51679486,2054,1203,851
29,344.5981,0.0826087,0.10043478,0.55830854,0.61310124,2054,1203,851
30,301.51953,0.08347827,0.100000024,0.5839085,0.5638155,2054,1203,851
31,286.1456,0.08521742,0.10130435,0.5293336,0.5835053,2054,1203,851
32,283.17157,0.084347844,0.09565216,0.583097,0.51758474,2054,1203,851
33,306.00964,0.08347827,0.10130435,0.50311184,0.63088894,2054,1203,851
34,310.30435,0.0826087,0.10260868,0.57476914,0.58336073,2054,1203,851
35,334.5166,0.0847826,0.10347825,0.49153173,0.63993216,2054,1203,851
36,303.5795,0.0847826,0.09913045,0.5106512,0.5849807,2054,1203,851
37,290.43146,0.08347827,0.10130435,0.5529437,0.5269222,2054,1203,851
38,401.1931,0.08565217,0.09826088,0.48494893,0.692701,2054,1203,851
39,317.58414,0.08782607,0.09739131,0.6514159,0.48160648,2054,1203,851
40,488.19937,0.08782607,0.10782611,0.46288237,0.7694278,2054,1203,851
41,345.46313,0.08608693,0.100000024,0.61208904,0.51368666,2054,1203,851
42,283.53583,0.084347844,0.09913045,0.5313671,0.6031142,2054,1203,851
43,413.1952,0.08782607,0.102173924,0.49176365,0.7291419,2054,1203,851
44,465.94174,0.13,0.13391304,0.74677104,0.42610586,2054,1203,851
45,386.83127,0.1030435,0.1095652,0.70214427,0.4519512,2054,1203,851
46,339.13028,0.09782606,0.10391307,0.6742271,0.48304367,2054,1203,851
47,321.70486,0.09173912,0.10130435,0.5783873,0.5822677,2054,1203,851
48,294.55023,0.088695645,0.09956521,0.5353591,0.6201847,2054,1203,851
49,298.36896,0.090869546,0.09956521,0.5763504,0.5383714,2054,1203,851
50,378.28674,0.10130435,0.110000014,0.5390724,0.66344255,2054,1203,851
51,391.80887,0.09695655,0.108695626,0.6046668,0.5847028,2054,1203,851
52,334.35095,0.09608698,0.1095652,0.5751118,0.62768674,2054,1203,851
53,371.34448,0.09521741,0.1052174,0.5887808,0.5768785,2054,1203,851
54,370.6922,0.089999974,0.10043478,0.51593804,0.6690588,2054,1203,851
55,290.14713,0.09130436,0.10086954,0.5980016,0.53491557,2054,1203,851
56,357.63696,0.09391302,0.102173924,0.5390005,0.66510034,2054,1203,851
57,330.12448,0.09521741,0.10043478,0.5618297,0.57609856,2054,1203,851
58,359.8288,0.09521741,0.10782611,0.5824139,0.59622866,2054,1203,851
59,514.6647,0.10086954,0.11391306,0.4540346,0.7714862,2054,1203,851
60,326.20233,0.09956521,0.1095652,0.55755657,0.60395145,2054,1203,851
61,289.5377,0.10043478,0.10913044,0.5636155,0.60442305,2054,1203,851
62,261.29456,0.09956521,0.10782611,0.5716518,0.57910156,2054,1203,851
63,325.63782,0.09826088,0.1052174,0.5645482,0.5742142,2054,1203,851
64,427.52487,0.10565215,0.11913043,0.47667488,0.7555398,2054,1203,851
65,302.82318,0.09521741,0.102173924,0.57648015,0.63678974,2054,1203,851
66,297.91113,0.09391302,0.10086954,0.57172465,0.5942948,2054,1203,851
67,365.83948,0.09782606,0.10608697,0.5984444,0.6080565,2054,1203,851
68,349.5748,0.09782606,0.10608697,0.62154067,0.46982804,2054,1203,851
69,404.52362,0.094347835,0.10782611,0.53502256,0.6957419,2054,1203,851
70,420.1738,0.09565216,0.108695626,0.611419,0.63422483,2054,1203,851
71,327.5571,0.09478259,0.10608697,0.56684613,0.56264627,2054,1203,851
72,440.47498,0.09956521,0.11043477,0.47780344,0.6876274,2054,1203,851
73,423.31424,0.09739131,0.112173915,0.6111675,0.5713039,2054,1203,851
74,466.91495,0.10130435,0.10782611,0.6770937,0.5796769,2054,1203,851
75,381.45602,0.09608698,0.10782611,0.6141649,0.58866125,2054,1203,851
76,476.4295,0.09913045,0.11391306,0.5225369,0.7467307,2054,1203,851
77,439.86755,0.098695636,0.108695626,0.6608632,0.47869083,2054,1203,851
78,395.6444,0.096521735,0.11173916,0.5692052,0.5768352,2054,1203,851
79,325.45798,0.09478259,0.1052174,0.60621935,0.4866394,2054,1203,851
80,546.51013,0.1030435,0.11478263,0.4835686,0.7555059,2054,1203,851
81,428.8692,0.10130435,0.112173915,0.5238365,0.6870017,2054,1203,851
82,516.3325,0.09739131,0.11086959,0.4638538,0.7339683,2054,1203,851
83,385.64838,0.098695636,0.1073913,0.51291835,0.645169,2054,1203,851
84,397.1645,0.10347825,0.11478263,0.5217785,0.60153884,2054,1203,851
85,535.01,0.1073913,0.11913043,0.42478693,0.7791507,2054,1203,851
86,453.45688,0.10043478,0.11304349,0.6230426,0.6075909,2054,1203,851
87,441.57492,0.10173911,0.11695653,0.5722297,0.6633358,2054,1203,851
