Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
70,55.148376,0.1314143,0.4480601,0.6139762,0.5685179,0.32730657,698,337,281,80
71,54.865345,0.1314143,0.4480601,0.6135902,0.56849945,0.3278382,698,337,281,80
72,54.588474,0.1314143,0.4480601,0.6132115,0.5684772,0.32836574,698,337,281,80
73,54.31145,0.1314143,0.4480601,0.6128292,0.56845766,0.32889307,698,337,281,80
74,54.04034,0.1314143,0.4480601,0.6124541,0.5684354,0.3294149,698,337,281,80
75,53.768196,0.1314143,0.4480601,0.6120728,0.5684167,0.32993954,698,337,281,80
76,53.503155,0.1314143,0.4480601,0.61170256,0.5683936,0.3304541,698,337,281,80
77,53.23622,0.1314143,0.44680852,0.6113245,0.5683739,0.33097562,698,337,281,80
78,52.977615,0.1314143,0.44555694,0.61095965,0.56835026,0.33148313,698,337,281,80
79,52.717136,0.1314143,0.44555694,0.6105875,0.5683295,0.33200067,698,337,281,80
80,52.46396,0.1314143,0.44555694,0.610226,0.56830585,0.33250406,698,337,281,80
81,52.20852,0.13016272,0.44555694,0.6098565,0.568285,0.3330163,698,337,281,80
82,51.957355,0.13016272,0.44555694,0.60949266,0.5682641,0.33351642,698,337,281,80
83,51.709404,0.13016272,0.44555694,0.6091323,0.56823957,0.33402306,698,337,281,80
84,51.462887,0.13016272,0.44555694,0.6087715,0.5682178,0.3345198,698,337,281,80
85,51.2195,0.13016272,0.44555694,0.60841453,0.56819266,0.33502203,698,337,281,80
86,50.977554,0.13016272,0.44555694,0.6080573,0.5681702,0.33551472,698,337,281,80
87,50.73861,0.13016272,0.44555694,0.6077037,0.5681442,0.33601287,698,337,281,80
88,50.50156,0.13016272,0.44555694,0.60735476,0.56811786,0.3365024,698,337,281,80
89,50.267334,0.13016272,0.44555694,0.60700524,0.56809086,0.3369953,698,337,281,80
90,50.033115,0.1314143,0.44430536,0.6066529,0.56806797,0.3374818,698,337,281,80
91,49.80382,0.1314143,0.44430536,0.6063073,0.5680414,0.33796725,698,337,281,80
92,49.57413,0.1314143,0.44430536,0.6059575,0.5680187,0.33844957,698,337,281,80
93,49.34988,0.1314143,0.44180226,0.6056156,0.5679937,0.3389241,698,337,281,80
94,49.124012,0.1314143,0.44180226,0.6052676,0.56797135,0.3394031,698,337,281,80
95,48.90314,0.1314143,0.44180226,0.604929,0.5679452,0.33987513,698,337,281,80
96,48.68122,0.1314143,0.44180226,0.6045838,0.567923,0.3403488,698,337,281,80
97,48.464302,0.1314143,0.44180226,0.6042488,0.56789565,0.3408169,698,337,281,80
98,48.245445,0.1314143,0.44180226,0.6039062,0.56787264,0.34128898,698,337,281,80
99,48.032642,0.1314143,0.44180226,0.6035745,0.56784534,0.34175056,698,337,281,80
100,47.817284,0.1314143,0.44180226,0.60323447,0.5678221,0.34221873,698,337,281,80
101,47.608543,0.1314143,0.44305384,0.60290784,0.5677941,0.3426749,698,337,281,80
102,47.397095,0.1314143,0.44305384,0.60257256,0.56776875,0.34314165,698,337,281,80
103,47.18959,0.1314143,0.44305384,0.6022431,0.56774455,0.3435928,698,337,281,80
104,46.98325,0.1314143,0.44305384,0.6019147,0.5677159,0.34405836,698,337,281,80
105,46.77911,0.1314143,0.44430536,0.6015941,0.5676852,0.344511,698,337,281,80
106,46.57663,0.1314143,0.44430536,0.60126865,0.56765723,0.34496745,698,337,281,80
107,46.37238,0.1314143,0.44430536,0.6009288,0.567637,0.34541875,698,337,281,80
108,46.175907,0.13016272,0.44305384,0.600615,0.5676059,0.34586218,698,337,281,80
109,45.977524,0.13016272,0.44305384,0.60028857,0.56758296,0.34630865,698,337,281,80
110,45.78223,0.13016272,0.44305384,0.5999691,0.5675555,0.34674877,698,337,281,80
111,45.58558,0.13016272,0.44305384,0.5996448,0.5675299,0.34719747,698,337,281,80
112,45.390846,0.13016272,0.44305384,0.5993194,0.5675051,0.34763294,698,337,281,80
113,45.199715,0.13016272,0.44305384,0.5990044,0.56747645,0.3480739,698,337,281,80
114,45.00712,0.13016272,0.44305384,0.5986803,0.5674531,0.34851342,698,337,281,80
115,44.82104,0.13016272,0.44055068,0.5983779,0.5674189,0.34894368,698,337,281,80
116,44.632282,0.13016272,0.44180226,0.5980604,0.5673943,0.34937832,698,337,281,80
117,44.44642,0.13016272,0.44180226,0.5977515,0.5673636,0.34980914,698,337,281,80
118,44.258026,0.13016272,0.44180226,0.5974353,0.56733644,0.35024893,698,337,281,80
119,44.06714,0.13016272,0.44180226,0.5971115,0.5673086,0.35069138,698,337,281,80
120,43.883736,0.13016272,0.44180226,0.5968149,0.5672679,0.35113093,698,337,281,80
121,43.696533,0.13016272,0.44180226,0.596499,0.56723845,0.3515725,698,337,281,80
122,43.514698,0.13016272,0.44180226,0.5961983,0.56720316,0.35200644,698,337,281,80
123,43.3319,0.13016272,0.44055068,0.595892,0.56717116,0.35244218,698,337,281,80
124,43.1519,0.13016272,0.44055068,0.59559447,0.5671329,0.35287574,698,337,281,80
125,42.97063,0.13016272,0.44055068,0.59528714,0.56710225,0.3533103,698,337,281,80
126,42.791115,0.13016272,0.44055068,0.59497887,0.5670695,0.3537375,698,337,281,80
127,42.61224,0.13016272,0.44055068,0.5946741,0.56703866,0.35417116,698,337,281,80
128,42.435677,0.13016272,0.44055068,0.59436977,0.5670093,0.35459632,698,337,281,80
129,42.262062,0.12891114,0.4392991,0.59407747,0.5669725,0.35502273,698,337,281,80
130,42.088276,0.12891114,0.4392991,0.59377587,0.56694496,0.3554433,698,337,281,80
131,41.91651,0.12891114,0.4392991,0.5934828,0.56690854,0.35586745,698,337,281,80
132,41.74425,0.12891114,0.4392991,0.593181,0.56688124,0.35628814,698,337,281,80
133,41.572716,0.12891114,0.4392991,0.59288156,0.56684643,0.35670638,698,337,281,80
134,41.40223,0.12891114,0.4392991,0.5925807,0.5668187,0.35712674,698,337,281,80
135,41.23285,0.12891114,0.4392991,0.59228706,0.5667856,0.3575428,698,337,281,80
136,41.066776,0.12891114,0.4380476,0.5919965,0.5667529,0.35795638,698,337,281,80
137,40.90117,0.12891114,0.4380476,0.5917151,0.5667138,0.3583693,698,337,281,80
138,40.735794,0.12891114,0.4380476,0.5914219,0.56668234,0.35878086,698,337,281,80
139,40.566986,0.12891114,0.4392991,0.591112,0.56665605,0.35919875,698,337,281,80
140,40.40618,0.12891114,0.4392991,0.5908303,0.56662226,0.3595986,698,337,281,80
141,40.24374,0.12891114,0.4380476,0.5905451,0.5665871,0.36001128,698,337,281,80
142,40.080597,0.12891114,0.43554443,0.5902509,0.5665579,0.36041808,698,337,281,80
143,39.921406,0.13016272,0.43304127,0.58996964,0.56652284,0.36082348,698,337,281,80
144,39.759132,0.13016272,0.43304127,0.5896783,0.5664859,0.36123294,698,337,281,80
145,39.60265,0.13016272,0.43304127,0.589401,0.5664505,0.36163074,698,337,281,80
146,39.44317,0.13016272,0.43304127,0.5891079,0.566422,0.36203828,698,337,281,80
147,39.289364,0.13016272,0.43304127,0.58884126,0.5663803,0.36243147,698,337,281,80
148,39.132862,0.13016272,0.43304127,0.5885579,0.5663484,0.36283404,698,337,281,80
149,38.976597,0.13016272,0.43304127,0.5882771,0.5663128,0.3632316,698,337,281,80
150,38.820656,0.13016272,0.43304127,0.5879876,0.5662796,0.3636305,698,337,281,80
151,38.66691,0.13016272,0.43304127,0.5877135,0.5662419,0.36402744,698,337,281,80
152,38.515408,0.13016272,0.43304127,0.5874368,0.5662075,0.36441845,698,337,281,80
153,38.362152,0.13016272,0.43304127,0.5871582,0.5661732,0.36481562,698,337,281,80
154,38.212612,0.13016272,0.43304127,0.58689296,0.5661341,0.36520067,698,337,281,80
155,38.060333,0.13016272,0.43304127,0.586604,0.56610227,0.36559528,698,337,281,80
156,37.90955,0.13016272,0.43304127,0.5863308,0.56606364,0.36598787,698,337,281,80
157,37.762264,0.13016272,0.43304127,0.586064,0.5660257,0.36637312,698,337,281,80
158,37.61503,0.13016272,0.43304127,0.5857998,0.5659863,0.366759,698,337,281,80
159,37.469055,0.13016272,0.43304127,0.5855298,0.56595004,0.36714306,698,337,281,80
160,37.322838,0.13016272,0.43304127,0.5852596,0.5659152,0.3675304,698,337,281,80
161,37.17616,0.13016272,0.43304127,0.58498365,0.56587964,0.36791152,698,337,281,80
162,37.035004,0.13016272,0.43304127,0.5847318,0.565835,0.36829314,698,337,281,80
163,36.89021,0.13016272,0.43304127,0.5844599,0.56580144,0.36867613,698,337,281,80
164,36.750923,0.13016272,0.43053818,0.58421296,0.56575626,0.36905003,698,337,281,80
165,36.60512,0.13016272,0.43053818,0.5839298,0.56572413,0.36943614,698,337,281,80
166,36.465515,0.13016272,0.43053818,0.5836721,0.5656881,0.36980417,698,337,281,80
167,36.325386,0.13016272,0.43178976,0.583423,0.56563777,0.37018794,698,337,281,80
168,36.18642,0.1314143,0.43178976,0.58316296,0.5656027,0.37055808,698,337,281,80
169,36.047302,0.1314143,0.43178976,0.58290553,0.5655621,0.3709341,698,337,281,80
170,35.908806,0.1314143,0.43178976,0.5826464,0.5655252,0.37130833,698,337,281,80
171,35.770424,0.1314143,0.43178976,0.5823877,0.5654816,0.37167633,698,337,281,80
172,35.632572,0.13266581,0.43178976,0.58212984,0.5654434,0.3720508,698,337,281,80
173,35.495102,0.13266581,0.43178976,0.58186877,0.56540745,0.37242094,698,337,281,80
174,35.361134,0.13266581,0.43178976,0.58162177,0.5653656,0.37278533,698,337,281,80
175,35.222885,0.13266581,0.43178976,0.58136165,0.5653198,0.3731599,698,337,281,80
176,35.09009,0.13391739,0.43178976,0.5811181,0.5652768,0.37351853,698,337,281,80
177,34.95461,0.13391739,0.43178976,0.5808578,0.56523997,0.3738906,698,337,281,80
178,34.82165,0.13391739,0.43178976,0.5806106,0.5651985,0.37425026,698,337,281,80
179,34.688175,0.13391739,0.43178976,0.5803601,0.56515115,0.37461513,698,337,281,80
180,34.55585,0.13391739,0.43178976,0.58011216,0.5651097,0.37497896,698,337,281,80
181,34.42592,0.13516897,0.43178976,0.57986635,0.565068,0.3753368,698,337,281,80
182,34.29567,0.13516897,0.43178976,0.5796196,0.56502837,0.37569547,698,337,281,80
183,34.165955,0.13516897,0.43178976,0.5793767,0.56498355,0.37605444,698,337,281,80
184,34.038567,0.13516897,0.43178976,0.57914025,0.5649381,0.37640873,698,337,281,80
185,33.908188,0.13516897,0.43178976,0.57888114,0.5649008,0.3767688,698,337,281,80
186,33.78278,0.13516897,0.43178976,0.57865685,0.56484765,0.37711763,698,337,281,80
187,33.65443,0.13516897,0.43178976,0.5784086,0.5648073,0.37747732,698,337,281,80
188,33.530304,0.13516897,0.43178976,0.57818097,0.5647595,0.37782472,698,337,281,80
189,33.40236,0.13391739,0.43053818,0.57793117,0.5647154,0.37818164,698,337,281,80
190,33.2778,0.13391739,0.4292866,0.5776946,0.5646729,0.37853003,698,337,281,80
191,33.153603,0.13391739,0.4292866,0.57746595,0.5646213,0.37887996,698,337,281,80
192,33.029457,0.13516897,0.4292866,0.577226,0.5645822,0.37923136,698,337,281,80
193,32.902706,0.13516897,0.4292866,0.5769754,0.56454104,0.37958178,698,337,281,80
194,32.78188,0.13516897,0.4292866,0.5767482,0.5644949,0.37992477,698,337,281,80
195,32.657898,0.13516897,0.4292866,0.57651114,0.5644494,0.38027686,698,337,281,80
196,32.538532,0.13516897,0.4292866,0.57628506,0.56440634,0.3806127,698,337,281,80
197,32.413002,0.13516897,0.4292866,0.5760338,0.5643643,0.3809662,698,337,281,80
198,32.292694,0.13516897,0.4292866,0.575805,0.564321,0.38130507,698,337,281,80
199,32.172256,0.13516897,0.4292866,0.5755778,0.56427217,0.38165075,698,337,281,80
200,32.049454,0.13516897,0.4292866,0.5753275,0.5642344,0.38199788,698,337,281,80
201,31.930307,0.13516897,0.4292866,0.57509667,0.5641947,0.38233182,698,337,281,80
202,31.811935,0.13516897,0.4292866,0.5748714,0.56414604,0.38267738,698,337,281,80
203,31.695425,0.13516897,0.4292866,0.5746433,0.56410617,0.38301083,698,337,281,80
204,31.57822,0.13516897,0.4292866,0.5744102,0.564061,0.3833477,698,337,281,80
205,31.462702,0.13642055,0.43053818,0.5741928,0.56401145,0.3836871,698,337,281,80
206,31.345768,0.13642055,0.43053818,0.57395864,0.5639729,0.384021,698,337,281,80
207,31.233461,0.13642055,0.43053818,0.5737498,0.5639212,0.38435128,698,337,281,80
208,31.116255,0.13516897,0.4292866,0.573507,0.56388295,0.38468948,698,337,281,80
209,31.004555,0.13516897,0.4292866,0.5733001,0.563833,0.38501468,698,337,281,80
210,30.88875,0.13516897,0.43053818,0.57306397,0.5637957,0.38535294,698,337,281,80
211,30.778034,0.13516897,0.43053818,0.57285327,0.5637485,0.3856767,698,337,281,80
212,30.664555,0.13516897,0.43053818,0.5726197,0.5637083,0.3860047,698,337,281,80
213,30.551853,0.13516897,0.43053818,0.5723988,0.5636623,0.3863379,698,337,281,80
214,30.441156,0.13516897,0.43053818,0.5721788,0.5636235,0.38665527,698,337,281,80
215,30.33032,0.13516897,0.43053818,0.5719583,0.563575,0.38698235,698,337,281,80
216,30.219946,0.13516897,0.43053818,0.5717377,0.5635351,0.38730544,698,337,281,80
217,30.110575,0.13516897,0.4292866,0.5715259,0.5634878,0.38762563,698,337,281,80
218,30.001202,0.13516897,0.4292866,0.57130647,0.56344837,0.3879459,698,337,281,80
