Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
0,103.17173,0.0,0.25599998,0.6949358,0.56202483,0.8054053,0.66788197,0.62112606,482,91,99,96,97,99
1,103.17168,0.0,0.25599998,0.69493574,0.56202483,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
2,103.17166,0.0,0.25599998,0.6949357,0.5620249,0.8054053,0.6678819,0.62112606,482,91,99,96,97,99
3,103.17163,0.0,0.25599998,0.6949356,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
4,103.1716,0.0,0.25599998,0.6949355,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
5,103.17157,0.0,0.25599998,0.69493544,0.5620249,0.8054053,0.66788185,0.62112606,482,91,99,96,97,99
6,103.17154,0.0,0.25599998,0.6949354,0.5620249,0.8054053,0.66788185,0.621126,482,91,99,96,97,99
7,103.17151,0.0,0.25599998,0.6949353,0.5620249,0.8054052,0.66788185,0.621126,482,91,99,96,97,99
8,103.17146,0.0,0.25599998,0.69493526,0.5620249,0.80540514,0.66788185,0.621126,482,91,99,96,97,99
9,103.17143,0.0,0.25599998,0.69493514,0.5620249,0.80540514,0.6678818,0.621126,482,91,99,96,97,99
10,103.171394,0.0,0.25599998,0.6949351,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
11,103.171364,0.0,0.25599998,0.694935,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
12,103.17134,0.0,0.25599998,0.6949349,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
13,103.171295,0.0,0.25599998,0.69493484,0.5620249,0.80540514,0.6678818,0.62112594,482,91,99,96,97,99
14,103.17126,0.0,0.25599998,0.6949348,0.5620249,0.80540496,0.66788167,0.62112594,482,91,99,96,97,99
15,103.17122,0.0,0.25599998,0.6949347,0.5620249,0.80540496,0.66788167,0.62112594,482,91,99,96,97,99
16,103.17119,0.0,0.25599998,0.69493467,0.5620249,0.80540496,0.6678816,0.62112594,482,91,99,96,97,99
17,103.17115,0.0,0.25599998,0.6949346,0.5620249,0.80540496,0.6678816,0.62112594,482,91,99,96,97,99
18,103.17111,0.0,0.25599998,0.6949345,0.5620249,0.80540496,0.6678816,0.62112594,482,91,99,96,97,99
19,103.17108,0.0,0.25599998,0.6949344,0.5620249,0.80540496,0.6678816,0.62112594,482,91,99,96,97,99
20,103.17104,0.0,0.25599998,0.69493437,0.5620249,0.80540496,0.66788155,0.6211259,482,91,99,96,97,99
21,103.171005,0.0,0.25599998,0.69493425,0.5620249,0.80540496,0.66788155,0.6211259,482,91,99,96,97,99
22,103.170975,0.0,0.25599998,0.6949342,0.5620249,0.80540484,0.66788155,0.6211259,482,91,99,96,97,99
23,103.17095,0.0,0.25599998,0.69493407,0.5620249,0.80540484,0.6678814,0.6211259,482,91,99,96,97,99
24,103.17091,0.0,0.25599998,0.69493407,0.5620249,0.80540484,0.6678814,0.6211259,482,91,99,96,97,99
25,103.17088,0.0,0.25599998,0.69493395,0.5620249,0.80540484,0.6678814,0.6211259,482,91,99,96,97,99
26,103.17085,0.0,0.25599998,0.6949339,0.5620249,0.80540484,0.6678814,0.6211259,482,91,99,96,97,99
27,103.170815,0.0,0.25599998,0.6949338,0.5620249,0.80540484,0.6678814,0.6211259,482,91,99,96,97,99
28,103.17078,0.0,0.25599998,0.69493365,0.5620249,0.80540484,0.6678814,0.6211258,482,91,99,96,97,99
29,103.17075,0.0,0.25599998,0.69493365,0.5620249,0.80540484,0.6678814,0.62112576,482,91,99,96,97,99
30,103.17071,0.0,0.25599998,0.6949336,0.5620249,0.80540484,0.66788137,0.62112576,482,91,99,96,97,99
