Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
0,128.03429,0.10888612,0.46433043,0.65575475,0.61392343,0.2389765,699,330,281,88
1,127.08154,0.10888612,0.46433043,0.6553606,0.61360586,0.23998739,699,330,281,88
2,126.10122,0.10888612,0.46558195,0.6549483,0.6133005,0.24099185,699,330,281,88
3,125.0854,0.10888612,0.46558195,0.65451306,0.6130057,0.24201101,699,330,281,88
4,124.038795,0.10888612,0.46558195,0.6540497,0.61273235,0.24304518,699,330,281,88
5,122.944,0.1101377,0.46558195,0.6535553,0.6124742,0.24407959,699,330,281,88
6,121.79987,0.1101377,0.46558195,0.65302557,0.61223656,0.24511823,699,330,281,88
7,120.5997,0.1101377,0.46558195,0.65245694,0.6120185,0.24616462,699,330,281,88
8,119.34039,0.10888612,0.46433043,0.65184236,0.61182725,0.24720214,699,330,281,88
9,118.01444,0.10888612,0.46433043,0.6511758,0.61166173,0.24824113,699,330,281,88
10,116.626724,0.10888612,0.46433043,0.65045685,0.61152565,0.24927345,699,330,281,88
11,115.179756,0.1101377,0.46433043,0.64968485,0.6114172,0.25030297,699,330,281,88
12,113.68341,0.1101377,0.46433043,0.6488537,0.6113432,0.25132072,699,330,281,88
13,112.14618,0.10888612,0.46433043,0.6479659,0.6112985,0.25233567,699,330,281,88
14,110.58726,0.10888612,0.46558195,0.64702976,0.6112803,0.2533441,699,330,281,88
15,109.02528,0.10888612,0.46558195,0.64605796,0.6112797,0.254348,699,330,281,88
16,107.4807,0.10888612,0.46558195,0.64506114,0.6112918,0.2553458,699,330,281,88
17,105.9743,0.10888612,0.46558195,0.64404804,0.6113137,0.2563679,699,330,281,88
18,104.52095,0.10888612,0.46558195,0.64303756,0.61133575,0.25738385,699,330,281,88
19,103.132385,0.10888612,0.46558195,0.6420421,0.61135256,0.25839344,699,330,281,88
20,101.8157,0.10888612,0.46558195,0.6410738,0.61135745,0.25939724,699,330,281,88
21,100.572334,0.1101377,0.46683353,0.64013904,0.61134714,0.26039684,699,330,281,88
22,99.40298,0.1101377,0.46683353,0.63924485,0.61131877,0.26138994,699,330,281,88
23,98.3043,0.1101377,0.46683353,0.63839203,0.61127543,0.26237738,699,330,281,88
