Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,S,S_1,S_2
0,31.52776,0.116,0.348,0.62390363,0.38730967,466,326,140
1,23.048458,0.116,0.35000002,0.6005589,0.4116994,466,326,140
2,17.931591,0.11400002,0.35000002,0.58270293,0.42990237,466,326,140
3,14.118578,0.11199999,0.35000002,0.5677291,0.44545045,466,326,140
4,10.766652,0.116,0.35399997,0.55319184,0.46008062,466,326,140
5,8.7142315,0.116,0.35399997,0.54249626,0.47081098,466,326,140
6,7.4076204,0.11400002,0.35399997,0.53603894,0.47757187,466,326,140
7,6.512299,0.11400002,0.352,0.53169996,0.48223943,466,326,140
8,5.80022,0.116,0.35399997,0.5270337,0.48686436,466,326,140
9,5.1904063,0.116,0.352,0.52377003,0.49010828,466,326,140
10,4.7050185,0.116,0.35000002,0.52123857,0.49250957,466,326,140
11,4.309656,0.11799997,0.35000002,0.5190858,0.49441037,466,326,140
12,3.9602668,0.11799997,0.348,0.51734763,0.4958762,466,326,140
13,3.6397338,0.116,0.348,0.51609683,0.4968726,466,326,140
14,3.3560715,0.116,0.348,0.51541454,0.49730715,466,326,140
15,3.1317997,0.116,0.348,0.51515776,0.49727967,466,326,140
16,2.958251,0.11400002,0.34600002,0.5148328,0.49727914,466,326,140
17,2.7730408,0.11400002,0.34600002,0.5139537,0.49774122,466,326,140
18,2.43571,0.11400002,0.34600002,0.51156735,0.49898866,466,326,140
19,2.0953581,0.11400002,0.348,0.508151,0.50045866,466,326,140
20,2.0332367,0.11400002,0.348,0.5091439,0.4995427,466,326,140
21,1.970588,0.11400002,0.34600002,0.50916547,0.49950093,466,326,140
22,1.9383197,0.11400002,0.348,0.5095386,0.49924797,466,326,140
23,1.9223055,0.11400002,0.35000002,0.5098565,0.4990531,466,326,140
24,1.9179397,0.11400002,0.35000002,0.5101792,0.49884367,466,326,140
25,1.9186687,0.116,0.35000002,0.5104458,0.49867564,466,326,140
26,1.921619,0.116,0.352,0.51066834,0.49853596,466,326,140
27,1.9237642,0.116,0.352,0.51086676,0.49841526,466,326,140
28,1.9265406,0.116,0.35399997,0.51095855,0.49835107,466,326,140
29,1.9306135,0.116,0.352,0.51107055,0.4982127,466,326,140
30,1.9351053,0.11400002,0.352,0.51119655,0.49800998,466,326,140
31,1.938518,0.11400002,0.352,0.5113241,0.49776098,466,326,140
32,1.9398503,0.11400002,0.352,0.5115004,0.49745566,466,326,140
33,1.9378337,0.11400002,0.352,0.51154995,0.49723482,466,326,140
34,1.9335492,0.11400002,0.352,0.5116267,0.49696144,466,326,140
35,1.9238989,0.11400002,0.35399997,0.5116731,0.49673298,466,326,140
36,1.9066439,0.11400002,0.35399997,0.5116935,0.49649298,466,326,140
37,1.8800116,0.11400002,0.352,0.51165867,0.4962985,466,326,140
38,1.8450034,0.11400002,0.352,0.51159555,0.4961029,466,326,140
39,1.8001226,0.11400002,0.352,0.51151615,0.4959373,466,326,140
40,1.7478509,0.11400002,0.352,0.5112966,0.49587047,466,326,140
41,1.692295,0.11400002,0.352,0.51097745,0.49590433,466,326,140
42,1.6344938,0.11400002,0.352,0.51063985,0.49597594,466,326,140
43,1.573465,0.11400002,0.35399997,0.51023126,0.49615872,466,326,140
44,1.5338311,0.11400002,0.35399997,0.51025903,0.49587816,466,326,140
45,1.4687188,0.11400002,0.35399997,0.50954443,0.49647948,466,326,140
46,1.4476812,0.11400002,0.35399997,0.5098375,0.4959324,466,326,140
47,1.3986287,0.116,0.35399997,0.50929695,0.4964639,466,326,140
48,1.381583,0.116,0.35399997,0.5094495,0.49610803,466,326,140
49,1.3441763,0.116,0.35399997,0.5091391,0.4964775,466,326,140
50,1.3251545,0.116,0.356,0.5090629,0.49635077,466,326,140
51,1.2989957,0.116,0.356,0.50879204,0.49672285,466,326,140
52,1.304249,0.116,0.35799998,0.5092608,0.4960331,466,326,140
53,1.2517259,0.116,0.36,0.5080053,0.49758834,466,326,140
54,1.3231783,0.116,0.36,0.5101616,0.49493936,466,326,140
55,1.2038363,0.116,0.36,0.5061106,0.49988878,466,326,140
56,1.5048289,0.116,0.36,0.51274544,0.49165422,466,326,140
57,1.3474053,0.11400002,0.36,0.501119,0.50611174,466,326,140
58,2.4984193,0.11400002,0.36,0.51991504,0.48291725,466,326,140
59,2.2987242,0.11400002,0.36,0.49148422,0.51696485,466,326,140
60,3.4254189,0.116,0.36,0.5263024,0.47756577,466,326,140
61,2.1618505,0.116,0.36,0.48867583,0.51777047,466,326,140
62,3.414991,0.11400002,0.36,0.52763194,0.47827655,466,326,140
63,2.6441612,0.11400002,0.36,0.48681828,0.52075654,466,326,140
64,5.519185,0.116,0.36,0.53626734,0.46779138,466,326,140
65,2.5520856,0.11799997,0.36,0.48413488,0.5216255,466,326,140
66,4.2102504,0.11400002,0.35799998,0.53047705,0.4791324,466,326,140
67,1.979281,0.11400002,0.36,0.48862818,0.51600015,466,326,140
68,4.2111874,0.116,0.362,0.53304434,0.47424644,466,326,140
69,1.875473,0.116,0.36,0.48820862,0.51541823,466,326,140
70,4.454275,0.11400002,0.362,0.53539723,0.47248513,466,326,140
71,2.062427,0.116,0.362,0.48726392,0.5171493,466,326,140
72,5.0625486,0.11400002,0.362,0.53875273,0.47010088,466,326,140
73,2.198925,0.11400002,0.362,0.48504665,0.51881325,466,326,140
74,6.3727016,0.116,0.35799998,0.5457811,0.4633364,466,326,140
75,2.4692175,0.11400002,0.362,0.48915708,0.513426,466,326,140
76,5.1522574,0.11400002,0.362,0.53975046,0.469584,466,326,140
77,2.628059,0.11400002,0.362,0.48286766,0.5209552,466,326,140
78,7.9036784,0.116,0.35799998,0.55280447,0.45772696,466,326,140
79,3.0837348,0.116,0.36400002,0.48195294,0.5207436,466,326,140
80,7.2580624,0.11400002,0.36,0.5524177,0.45776427,466,326,140
81,3.840342,0.116,0.36400002,0.4734476,0.5302123,466,326,140
82,11.495442,0.116,0.35799998,0.5689962,0.4432564,466,326,140
83,3.4350152,0.116,0.36400002,0.47434056,0.5295603,466,326,140
84,6.8969707,0.116,0.35799998,0.5527685,0.4543353,466,326,140
85,4.4934087,0.116,0.362,0.46611837,0.53592014,466,326,140
86,12.853116,0.11400002,0.356,0.5746632,0.43814844,466,326,140
87,5.7994375,0.11400002,0.362,0.46028578,0.543237,466,326,140
88,13.07792,0.11400002,0.356,0.57725054,0.4356032,466,326,140
89,5.85084,0.116,0.362,0.4618373,0.54198325,466,326,140
90,12.884435,0.11400002,0.356,0.57482857,0.4380711,466,326,140
91,5.5203805,0.11400002,0.36,0.46687663,0.5368261,466,326,140
92,10.367866,0.11400002,0.35799998,0.5663009,0.44537967,466,326,140
93,5.1247907,0.11400002,0.36,0.4687359,0.5352939,466,326,140
94,11.595211,0.11400002,0.35799998,0.5696316,0.44266582,466,326,140
95,5.3370805,0.116,0.36,0.46786723,0.53614235,466,326,140
96,10.749755,0.11400002,0.35799998,0.56796074,0.4438615,466,326,140
97,5.8201976,0.11400002,0.35799998,0.4633598,0.5400703,466,326,140
98,13.033511,0.11400002,0.356,0.57693714,0.43412283,466,326,140
99,6.1114907,0.11400002,0.35799998,0.46089303,0.5428862,466,326,140
100,10.849992,0.11400002,0.35399997,0.56809556,0.44395623,466,326,140
101,5.532437,0.11400002,0.35799998,0.46653542,0.53624886,466,326,140
102,12.796701,0.11400002,0.35399997,0.5749375,0.43548113,466,326,140
103,6.008965,0.11400002,0.356,0.46313584,0.54000527,466,326,140
104,11.696377,0.11400002,0.35399997,0.5716399,0.4389043,466,326,140
105,6.100595,0.11400002,0.356,0.4621099,0.54089826,466,326,140
106,13.63994,0.11400002,0.35399997,0.5801157,0.42900395,466,326,140
107,6.9695168,0.11400002,0.356,0.4573475,0.5437329,466,326,140
108,12.352842,0.11400002,0.35399997,0.5743086,0.4360426,466,326,140
109,5.434004,0.11400002,0.356,0.46923664,0.53274274,466,326,140
110,11.085908,0.11400002,0.35399997,0.5697631,0.4392692,466,326,140
111,5.392533,0.11400002,0.356,0.46255174,0.53862214,466,326,140
112,14.3029785,0.11400002,0.35399997,0.5840283,0.42555022,466,326,140
113,10.168223,0.116,0.35399997,0.44982794,0.5511961,466,326,140
114,5.436085,0.116,0.352,0.53413206,0.46426663,466,326,140
115,4.530686,0.116,0.352,0.46709862,0.5321407,466,326,140
116,20.963825,0.116,0.35399997,0.5973457,0.41544694,466,326,140
117,5.351564,0.116,0.352,0.47998777,0.52744967,466,326,140
118,8.781716,0.116,0.352,0.55496,0.44374767,466,326,140
119,5.7687263,0.116,0.352,0.44714543,0.55098146,466,326,140
120,19.874443,0.116,0.352,0.6033274,0.4080956,466,326,140
121,11.024501,0.116,0.35399997,0.43819347,0.55701005,466,326,140
122,11.249201,0.116,0.352,0.56976813,0.43744773,466,326,140
123,4.9628425,0.116,0.352,0.48370582,0.51588386,466,326,140
124,6.9535923,0.11799997,0.35000002,0.54253894,0.46301183,466,326,140
125,4.440093,0.11799997,0.352,0.49195075,0.51121706,466,326,140
126,7.097106,0.11799997,0.35000002,0.5489197,0.45829123,466,326,140
127,4.9763985,0.11799997,0.352,0.48192802,0.5210573,466,326,140
128,12.466383,0.116,0.352,0.5755852,0.43325794,466,326,140
129,10.281449,0.11799997,0.35399997,0.44069687,0.5572211,466,326,140
130,15.281083,0.11799997,0.352,0.59069484,0.419655,466,326,140
131,8.624337,0.120000005,0.352,0.4505836,0.5440119,466,326,140
132,10.491501,0.120000005,0.352,0.5636643,0.4421323,466,326,140
133,4.784633,0.120000005,0.352,0.48259097,0.5179864,466,326,140
134,7.512346,0.11799997,0.352,0.5505123,0.4561301,466,326,140
135,4.829169,0.11799997,0.35000002,0.47626013,0.52760655,466,326,140
136,12.201254,0.120000005,0.35000002,0.5710771,0.43737283,466,326,140
137,8.381342,0.120000005,0.35000002,0.45596567,0.5482313,466,326,140
138,10.689716,0.11799997,0.348,0.57416004,0.43700263,466,326,140
139,11.921448,0.11799997,0.348,0.43230125,0.5689824,466,326,140
140,14.988692,0.120000005,0.34600002,0.5836031,0.431375,466,326,140
141,7.43629,0.120000005,0.35000002,0.4559121,0.5458275,466,326,140
142,12.071446,0.116,0.35000002,0.5721135,0.440454,466,326,140
143,9.867479,0.11799997,0.348,0.44248682,0.5600527,466,326,140
144,10.520274,0.116,0.348,0.5704005,0.44580966,466,326,140
145,8.830938,0.11799997,0.348,0.44810215,0.5537383,466,326,140
146,11.098335,0.12199998,0.348,0.5733393,0.44121015,466,326,140
147,7.8259096,0.120000005,0.348,0.45354584,0.54838574,466,326,140
148,10.917743,0.11799997,0.348,0.57327694,0.43838805,466,326,140
149,9.131268,0.120000005,0.348,0.4465049,0.557256,466,326,140
150,11.77943,0.12400001,0.348,0.5772985,0.44059566,466,326,140
151,8.214464,0.12199998,0.348,0.45093504,0.55355847,466,326,140
152,9.77914,0.12199998,0.348,0.56733257,0.44936183,466,326,140
153,7.1550083,0.12199998,0.348,0.45787904,0.5464218,466,326,140
154,9.455152,0.12400001,0.35000002,0.5652023,0.451748,466,326,140
155,8.085786,0.12400001,0.35000002,0.45053586,0.5540803,466,326,140
156,16.293999,0.12199998,0.35000002,0.58708006,0.43069446,466,326,140
157,9.035499,0.12199998,0.352,0.44526047,0.5544113,466,326,140
158,15.521892,0.12199998,0.35000002,0.5808199,0.43215582,466,326,140
159,9.435778,0.12400001,0.35000002,0.46893826,0.53916276,466,326,140
160,11.829946,0.12199998,0.35000002,0.56909806,0.44691968,466,326,140
161,6.9509215,0.120000005,0.352,0.46206,0.543005,466,326,140
162,19.851204,0.12400001,0.352,0.60405016,0.4084393,466,326,140
163,13.493684,0.12599999,0.352,0.42512846,0.5757227,466,326,140
164,19.7859,0.12400001,0.35000002,0.60022926,0.4147915,466,326,140
165,6.624788,0.120000005,0.348,0.47343305,0.5322138,466,326,140
166,5.5079184,0.12199998,0.348,0.52987623,0.48147887,466,326,140
167,4.496564,0.12199998,0.348,0.4898967,0.5190713,466,326,140
168,10.746064,0.120000005,0.33999997,0.5630572,0.4510329,466,326,140
169,6.461607,0.116,0.34399998,0.4639601,0.54247326,466,326,140
170,15.288049,0.116,0.342,0.5884797,0.42272264,466,326,140
171,20.242676,0.116,0.342,0.39997405,0.5972956,466,326,140
172,18.230825,0.11799997,0.34399998,0.6005623,0.41209945,466,326,140
173,9.251678,0.11799997,0.352,0.45363995,0.54903704,466,326,140
174,6.7560363,0.120000005,0.348,0.5450799,0.46682337,466,326,140
175,6.935647,0.120000005,0.348,0.4657568,0.539111,466,326,140
176,8.84744,0.12400001,0.34600002,0.55706453,0.45123395,466,326,140
177,8.699666,0.12199998,0.348,0.4589268,0.5489403,466,326,140
178,9.983908,0.12199998,0.34600002,0.56071174,0.4548375,466,326,140
179,6.7386436,0.120000005,0.34600002,0.46160716,0.54415685,466,326,140
180,11.962803,0.12199998,0.34600002,0.57600087,0.44022343,466,326,140
181,20.574663,0.12400001,0.35000002,0.39776832,0.5971348,466,326,140
182,17.647236,0.120000005,0.348,0.595904,0.41134655,466,326,140
183,8.875953,0.12199998,0.35000002,0.454264,0.5463829,466,326,140
184,8.358375,0.12199998,0.35399997,0.55623204,0.4554481,466,326,140
185,10.484207,0.12199998,0.348,0.4385653,0.56534773,466,326,140
186,24.613306,0.12400001,0.35000002,0.6223915,0.38780704,466,326,140
187,13.192095,0.12199998,0.356,0.43508157,0.55146813,466,326,140
188,7.4090986,0.11799997,0.352,0.53422195,0.46939108,466,326,140
189,5.7384677,0.116,0.35000002,0.50713503,0.50431824,466,326,140
190,5.8686986,0.116,0.34399998,0.5318669,0.4812616,466,326,140
191,6.779243,0.116,0.34600002,0.5081154,0.50571376,466,326,140
192,6.202445,0.116,0.342,0.5335069,0.47576958,466,326,140
193,6.7421746,0.11400002,0.348,0.47434628,0.53264946,466,326,140
194,8.772976,0.116,0.348,0.55041295,0.4561225,466,326,140
195,12.085012,0.116,0.348,0.43969938,0.56234044,466,326,140
196,16.59635,0.11799997,0.352,0.57450175,0.42632103,466,326,140
197,17.214685,0.120000005,0.34600002,0.41991058,0.57766795,466,326,140
198,16.217867,0.120000005,0.34399998,0.5787908,0.41831517,466,326,140
199,20.299347,0.12400001,0.35000002,0.40791526,0.5882883,466,326,140
200,14.606012,0.12199998,0.348,0.5648118,0.44788066,466,326,140
201,7.07911,0.120000005,0.34600002,0.50794816,0.50246555,466,326,140
202,5.994266,0.120000005,0.35000002,0.52648973,0.48315567,466,326,140
203,4.9462037,0.12199998,0.348,0.5033551,0.50780547,466,326,140
204,5.655013,0.120000005,0.348,0.53129315,0.47779235,466,326,140
205,6.599185,0.12199998,0.348,0.48065308,0.53042775,466,326,140
206,10.07314,0.12199998,0.348,0.5660115,0.45206013,466,326,140
207,16.049253,0.11799997,0.34600002,0.41981062,0.58003074,466,326,140
208,25.199177,0.12199998,0.348,0.62227815,0.38977623,466,326,140
209,24.233343,0.12400001,0.348,0.3940744,0.6005706,466,326,140
210,24.344236,0.12400001,0.348,0.5997542,0.39479315,466,326,140
211,14.037094,0.120000005,0.356,0.4454514,0.5659497,466,326,140
212,25.345963,0.12599999,0.35399997,0.6074412,0.40347275,466,326,140
213,15.08622,0.12599999,0.35399997,0.43255344,0.55817497,466,326,140
214,12.850215,0.12800002,0.35000002,0.5549157,0.44239768,466,326,140
215,12.442924,0.12599999,0.348,0.4838933,0.5420129,466,326,140
216,8.852532,0.12599999,0.34600002,0.5470679,0.468623,466,326,140
217,17.808403,0.12400001,0.34600002,0.42055365,0.591404,466,326,140
218,52.80035,0.12599999,0.352,0.68275535,0.3249363,466,326,140
219,40.36609,0.13599998,0.352,0.37726408,0.6049324,466,326,140
220,18.423403,0.13200003,0.352,0.45242104,0.5433017,466,326,140
221,12.64627,0.13200003,0.35399997,0.46799427,0.5312275,466,326,140
222,8.929331,0.13200003,0.356,0.5034427,0.49668688,466,326,140
223,8.2513895,0.13200003,0.356,0.51853305,0.49144614,466,326,140
224,6.839406,0.13200003,0.352,0.51766527,0.48731765,466,326,140
225,12.716501,0.13,0.35000002,0.505365,0.52086437,466,326,140
226,20.81543,0.13,0.352,0.5731336,0.42820504,466,326,140
227,18.78695,0.13,0.352,0.42845687,0.58495057,466,326,140
228,66.53082,0.134,0.35799998,0.6871993,0.32116082,466,326,140
229,21.356873,0.13599998,0.352,0.53493714,0.47991392,466,326,140
230,19.459167,0.134,0.35399997,0.5519017,0.4604794,466,326,140
231,16.261713,0.134,0.356,0.5178144,0.50520504,466,326,140
232,14.247178,0.134,0.35799998,0.5496167,0.4747367,466,326,140
233,11.076146,0.134,0.35399997,0.48392186,0.53046465,466,326,140
234,27.23686,0.134,0.352,0.61469114,0.4013631,466,326,140
235,45.114197,0.13,0.35399997,0.3565691,0.67012346,466,326,140
236,53.424038,0.134,0.356,0.65960985,0.35732678,466,326,140
237,34.813705,0.14200002,0.352,0.5251775,0.48290074,466,326,140
238,35.884014,0.13999999,0.35399997,0.56110716,0.4425173,466,326,140
239,27.229786,0.13599998,0.356,0.5440721,0.45950022,466,326,140
240,24.422968,0.13800001,0.352,0.52368605,0.45014724,466,326,140
