Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
51,112.712166,0.08200002,0.28399998,0.69920963,0.5883483,0.80707735,0.6679458,0.6450874,482,91,100,95,97,99
52,112.712006,0.08200002,0.28399998,0.69920933,0.5883483,0.8070773,0.6679456,0.64508736,482,91,100,95,97,99
53,112.71184,0.08200002,0.28399998,0.6992091,0.5883484,0.8070771,0.66794556,0.64508736,482,91,100,95,97,99
54,112.7117,0.08200002,0.28399998,0.69920874,0.58834845,0.8070771,0.6679454,0.64508736,482,91,100,95,97,99
55,112.71152,0.08200002,0.28399998,0.6992084,0.58834845,0.80707693,0.6679452,0.64508736,482,91,100,95,97,99
56,112.71138,0.08200002,0.28399998,0.6992081,0.58834857,0.8070768,0.66794515,0.64508724,482,91,100,95,97,99
57,112.71121,0.08200002,0.28399998,0.6992078,0.58834857,0.8070768,0.6679451,0.64508724,482,91,100,95,97,99
58,112.71106,0.08200002,0.286,0.69920737,0.5883486,0.8070766,0.66794497,0.6450872,482,91,100,95,97,99
59,112.71089,0.08200002,0.286,0.69920707,0.5883487,0.80707645,0.66794485,0.6450872,482,91,100,95,97,99
60,112.71073,0.08200002,0.286,0.6992067,0.58834875,0.8070764,0.6679448,0.6450872,482,91,100,95,97,99
61,112.71059,0.08200002,0.286,0.69920635,0.5883488,0.8070763,0.66794467,0.6450872,482,91,100,95,97,99
62,112.710434,0.08200002,0.286,0.6992061,0.5883488,0.80707616,0.66794455,0.6450872,482,91,100,95,97,99
63,112.710266,0.08200002,0.286,0.69920576,0.58834887,0.80707604,0.6679444,0.6450871,482,91,100,95,97,99
64,112.71011,0.08200002,0.286,0.6992054,0.588349,0.80707604,0.6679444,0.64508706,482,91,100,95,97,99
65,112.70993,0.08200002,0.286,0.6992051,0.588349,0.8070758,0.6679442,0.64508706,482,91,100,95,97,99
66,112.70978,0.08200002,0.286,0.69920474,0.58834904,0.8070757,0.6679441,0.64508706,482,91,100,95,97,99
67,112.709625,0.08200002,0.286,0.6992044,0.588349,0.8070757,0.6679439,0.64508706,482,91,100,95,97,99
68,112.70947,0.08200002,0.286,0.6992041,0.5883491,0.8070755,0.6679439,0.64508694,482,91,100,95,97,99
69,112.70932,0.08200002,0.286,0.69920385,0.5883491,0.8070753,0.6679437,0.64508694,482,91,100,95,97,99
70,112.70915,0.08200002,0.286,0.6992035,0.58834916,0.8070752,0.6679436,0.6450869,482,91,100,95,97,99
71,112.708984,0.08200002,0.286,0.69920313,0.5883492,0.8070752,0.6679435,0.6450869,482,91,100,95,97,99
72,112.70882,0.08200002,0.286,0.69920284,0.5883493,0.807075,0.66794336,0.6450869,482,91,100,95,97,99
73,112.708664,0.08200002,0.286,0.6992026,0.58834934,0.80707496,0.66794324,0.6450868,482,91,100,95,97,99
74,112.7085,0.08200002,0.286,0.69920224,0.5883494,0.80707484,0.6679432,0.6450868,482,91,100,95,97,99
75,112.70836,0.08200002,0.286,0.6992019,0.5883494,0.8070748,0.667943,0.6450868,482,91,100,95,97,99
76,112.7082,0.08200002,0.286,0.6992016,0.5883495,0.8070747,0.6679429,0.64508677,482,91,100,95,97,99
77,112.70802,0.08200002,0.286,0.6992013,0.5883495,0.80707455,0.6679428,0.6450867,482,91,100,95,97,99
78,112.70787,0.08200002,0.286,0.69920087,0.5883496,0.80707437,0.6679427,0.64508665,482,91,100,95,97,99
79,112.70772,0.08200002,0.286,0.6992006,0.58834964,0.8070743,0.6679426,0.64508665,482,91,100,95,97,99
80,112.707565,0.08200002,0.286,0.6992003,0.58834964,0.8070741,0.66794246,0.6450866,482,91,100,95,97,99
81,112.7074,0.08200002,0.286,0.6991999,0.5883497,0.80707395,0.66794235,0.6450866,482,91,100,95,97,99
82,112.707245,0.08200002,0.286,0.6991996,0.5883497,0.80707383,0.6679422,0.6450866,482,91,100,95,97,99
83,112.70708,0.08200002,0.286,0.6991993,0.5883498,0.8070737,0.66794217,0.6450865,482,91,100,95,97,99
84,112.706924,0.08200002,0.286,0.699199,0.5883499,0.80707365,0.667942,0.6450865,482,91,100,95,97,99
85,112.70676,0.08200002,0.286,0.69919866,0.58834994,0.8070735,0.66794187,0.6450865,482,91,100,95,97,99
86,112.706604,0.08200002,0.286,0.6991983,0.58834994,0.8070734,0.66794187,0.6450865,482,91,100,95,97,99
87,112.706436,0.08200002,0.286,0.69919807,0.58835,0.80707335,0.66794163,0.64508647,482,91,100,95,97,99
88,112.70629,0.08200002,0.286,0.69919765,0.58835006,0.80707324,0.6679415,0.6450864,482,91,100,95,97,99
89,112.706116,0.08200002,0.286,0.69919735,0.5883501,0.8070731,0.6679414,0.6450864,482,91,100,95,97,99
90,112.70596,0.07999998,0.286,0.699197,0.5883501,0.807073,0.6679412,0.6450864,482,91,100,95,97,99
91,112.70581,0.07999998,0.286,0.6991967,0.5883502,0.80707294,0.6679412,0.6450864,482,91,100,95,97,99
92,112.70564,0.07999998,0.286,0.6991964,0.58835024,0.80707276,0.6679411,0.6450863,482,91,100,95,97,99
93,112.70548,0.07999998,0.286,0.69919604,0.5883503,0.8070727,0.6679409,0.6450863,482,91,100,95,97,99
94,112.70533,0.07999998,0.286,0.6991958,0.58835036,0.8070726,0.66794086,0.6450863,482,91,100,95,97,99
95,112.70517,0.07999998,0.286,0.6991955,0.58835036,0.80707246,0.6679407,0.6450862,482,91,100,95,97,99
96,112.70501,0.07999998,0.286,0.69919515,0.5883505,0.80707234,0.6679406,0.6450862,482,91,100,95,97,99
97,112.70485,0.07999998,0.286,0.6991948,0.58835053,0.8070723,0.6679405,0.6450862,482,91,100,95,97,99
98,112.7047,0.07999998,0.286,0.6991945,0.58835053,0.8070721,0.6679404,0.64508617,482,91,100,95,97,99
99,112.70453,0.07999998,0.286,0.69919413,0.5883506,0.80707204,0.66794026,0.64508617,482,91,100,95,97,99
100,112.70437,0.07999998,0.286,0.69919384,0.58835065,0.807072,0.66794014,0.64508617,482,91,100,95,97,99
101,112.70422,0.07999998,0.286,0.6991935,0.5883508,0.80707186,0.66794,0.64508605,482,91,100,95,97,99
102,112.704056,0.07999998,0.286,0.6991931,0.5883508,0.8070716,0.66793996,0.64508605,482,91,100,95,97,99
103,112.703896,0.07999998,0.286,0.6991928,0.58835083,0.80707157,0.6679398,0.645086,482,91,100,95,97,99
104,112.703735,0.07999998,0.286,0.6991925,0.5883509,0.8070715,0.66793966,0.64508605,482,91,100,95,97,99
105,112.703575,0.07999998,0.286,0.6991922,0.5883509,0.8070713,0.6679395,0.645086,482,91,100,95,97,99
106,112.70341,0.07999998,0.286,0.69919187,0.58835095,0.80707127,0.6679395,0.645086,482,91,100,95,97,99
107,112.70326,0.07999998,0.286,0.6991916,0.588351,0.80707127,0.6679393,0.645086,482,91,100,95,97,99
108,112.7031,0.07999998,0.286,0.6991913,0.5883511,0.8070711,0.6679392,0.64508593,482,91,100,95,97,99
109,112.70295,0.07999998,0.286,0.69919086,0.5883511,0.8070709,0.6679391,0.645086,482,91,100,95,97,99
110,112.702774,0.07999998,0.286,0.69919056,0.5883512,0.8070709,0.6679389,0.64508593,482,91,100,95,97,99
111,112.70261,0.07999998,0.286,0.6991902,0.58835125,0.8070708,0.6679389,0.6450859,482,91,100,95,97,99
112,112.70245,0.07999998,0.286,0.69918996,0.5883513,0.8070706,0.6679387,0.6450859,482,91,100,95,97,99
